season,week,team,season_type,game_id,opponent_team,completions,attempts,passing_yards,passing_tds,passing_interceptions,sacks_suffered,sack_yards_lost,sack_fumbles,sack_fumbles_lost,passing_air_yards,passing_yards_after_catch,passing_first_downs,passing_epa,passing_cpoe,passing_2pt_conversions,passing_10,passing_16,passing_20,passing_40,carries,rushing_yards,rushing_tds,rushing_fumbles,rushing_fumbles_lost,rushing_first_downs,rushing_epa,rushing_2pt_conversions,rushing_10,rushing_12,rushing_20,rushing_40,receptions,targets,receiving_yards,receiving_tds,receiving_fumbles,receiving_fumbles_lost,receiving_air_yards,receiving_yards_after_catch,receiving_first_downs,receiving_epa,receiving_2pt_conversions,receiving_10,receiving_16,receiving_20,receiving_40,special_teams_tds,def_tackles_solo,def_tackles_with_assist,def_tackle_assists,def_tackles_for_loss,def_tackles_for_loss_yards,def_fumbles_forced,def_sacks,def_sack_yards,def_qb_hits,def_interceptions,def_interception_yards,def_pass_defended,def_tds,def_fumbles,def_safeties,def_punt_blocks,def_pat_blocks,def_fg_blocks,def_2pt_atts,def_2pt_made,misc_yards,fumble_recovery_own,fumble_recovery_yards_own,fumble_recovery_opp,fumble_recovery_yards_opp,fumble_recovery_tds,penalties,penalty_yards,timeouts,fumbles_forced_by_opp,fumbles_not_forced,fumbles_out_of_bounds,fumbles_total,fumbles_lost_total,punt_returns,punt_return_yards,kickoff_returns,kickoff_return_yards,fg_made,fg_att,fg_missed,fg_blocked,fg_long,fg_pct,fg_made_0_19,fg_made_20_29,fg_made_30_39,fg_made_40_49,fg_made_50_59,fg_made_60_,fg_missed_0_19,fg_missed_20_29,fg_missed_30_39,fg_missed_40_49,fg_missed_50_59,fg_missed_60_,fg_made_list,fg_missed_list,fg_blocked_list,fg_made_distance,fg_missed_distance,fg_blocked_distance,pat_made,pat_att,pat_missed,pat_blocked,pat_pct,gwfg_made,gwfg_att,gwfg_missed,gwfg_blocked,gwfg_distance,pt_att,pt_blocked,pt_long,pt_yards,pt_inside_20,pt_out_of_bounds,pt_downed,pt_touchback,pt_fair_caught,pt_returned,pt_return_yards,pt_return_tds,pt_net_yards
2011,1,ARI,REG,2011_01_CAR_ARI,CAR,18,27,309,2,0,2,-14,1,0,188,170,10,11.4675384133339,1.59126983748542,0,11,9,6,2,25,99,1,1,1,4,-4.57405023265164,0,2,1,1,0,18,27,309,2,0,0,188,170,10,14.3646772178805,0,11,9,6,2,1,48,4,12,0,0,0,4,19,8,1,16,2,0,0,0,0,0,0,0,0,0,1,-8,0,0,0,6,61,3,1,1,0,2,1,2,98,2,60,0,1,1,0,,0,0,0,0,0,0,0,0,0,1,0,0,0,,36,,0,36,0,4,4,0,0,1,0,0,0,0,0,5,0,52,210,2,0,1,0,0,4,19,0,191
2011,1,ATL,REG,2011_01_ATL_CHI,CHI,31,47,319,0,1,5,-43,1,1,225,165,14,-14.8445840408645,7.49198846195055,0,13,5,4,0,14,110,0,1,1,3,-2.49403274264466,0,2,2,1,1,31,46,319,0,0,0,225,165,14,-2.32230693805879,0,13,5,4,0,0,57,0,2,0,0,0,4,21,6,1,50,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,9,65,5,1,1,0,2,2,3,10,2,33,2,2,0,0,48,1,0,1,0,1,0,0,0,0,0,0,0,0,48;25,,,73,0,0,0,0,0,0,,0,0,0,0,0,5,0,45,192,2,0,2,0,2,1,14,0,178
2011,1,BAL,REG,2011_01_PIT_BAL,PIT,17,29,224,3,0,1,-9,0,0,220,124,10,10.3757529311303,-2.30702531748805,0,11,7,4,0,31,170,1,0,0,5,1.07305772211237,1,4,3,2,0,17,29,224,3,0,0,220,124,10,12.2752419583454,0,11,7,4,0,0,37,8,10,0,0,4,4,34,6,3,29,10,0,0,0,0,0,0,0,0,0,0,0,4,0,0,7,75,2,0,0,0,0,0,0,0,1,37,2,2,0,0,30,1,0,1,1,0,0,0,0,0,0,0,0,0,29;30,,,59,0,0,3,3,0,0,1,0,0,0,0,0,5,0,62,236,0,0,1,1,1,2,7,0,209
2011,1,BUF,REG,2011_01_BUF_KC,KC,17,26,208,4,1,1,-7,0,0,290,66,13,11.9843464508181,13.1886499432417,0,10,5,2,0,39,163,1,1,0,9,2.5690537901246,0,4,3,1,0,17,26,208,4,0,0,290,66,13,14.1633619622322,0,10,5,2,0,0,49,0,2,0,0,2,2,14,3,1,30,4,0,0,0,0,0,0,0,0,0,1,0,2,0,0,5,30,2,0,1,0,1,0,4,35,1,21,2,2,0,0,38,1,0,1,1,0,0,0,0,0,0,0,0,0,29;38,,,67,0,0,5,5,0,0,1,0,0,0,0,0,5,0,63,257,1,0,0,3,1,1,15,0,182
2011,1,CAR,REG,2011_01_CAR_ARI,ARI,24,37,422,2,1,4,-19,0,0,439,153,17,14.2906613725936,6.5009789692389,0,17,9,8,2,27,74,1,0,0,7,-5.7271491563879,0,3,2,0,0,24,37,422,2,0,0,439,153,17,21.7083626695676,0,17,9,8,2,0,35,7,11,0,0,1,2,14,2,0,0,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,10,74,5,0,0,0,0,0,4,19,2,49,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,3,3,0,0,1,0,0,0,0,0,7,0,56,289,2,0,2,1,2,2,98,1,171
2011,1,CHI,REG,2011_01_ATL_CHI,ATL,22,32,312,2,1,5,-23,1,0,228,184,11,0.53816377235476,8.17174473777413,0,11,7,5,2,27,88,0,0,0,4,-4.07538288529031,0,1,1,1,0,22,32,312,2,1,0,228,184,11,5.84535936683083,0,11,7,5,2,0,43,0,22,0,0,1,4,28,11,1,-1,5,0,1,0,0,0,0,0,0,0,3,0,2,12,1,8,56,5,0,3,0,3,0,1,14,3,53,3,3,0,0,41,1,0,2,0,1,0,0,0,0,0,0,0,0,41;23;26,,,90,0,0,3,3,0,0,1,0,0,0,0,0,6,0,57,288,1,0,2,0,1,3,10,0,278
2011,1,CIN,REG,2011_01_CIN_CLE,CLE,15,27,173,2,0,4,-18,1,0,256,79,8,-0.567627969055465,-2.2482298038624,0,6,5,5,1,33,139,1,0,0,6,2.18916088348487,0,3,2,1,0,15,27,173,2,1,0,256,79,8,3.84157227529489,0,6,5,5,1,0,43,0,18,0,0,1,2,11,6,1,0,10,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,22,4,2,0,1,2,0,1,15,4,92,2,2,0,0,47,1,0,1,0,1,0,0,0,0,0,0,0,0,24;47,,,71,0,0,3,3,0,0,1,0,0,0,0,0,8,0,60,382,2,0,1,1,0,6,58,0,304
2011,1,CLE,REG,2011_01_CIN_CLE,CIN,19,40,213,2,1,2,-11,1,0,279,104,11,-9.01554945140758,-7.88120245322203,0,10,4,2,1,26,83,0,0,0,5,-1.0766281101678,0,1,1,0,0,19,40,213,2,0,0,279,104,11,-6.1383466006411,0,10,4,2,1,0,46,0,16,0,0,2,4,18,8,0,0,6,0,0,0,0,0,0,0,0,0,1,0,0,0,0,11,72,5,1,0,0,1,0,6,58,3,91,1,1,0,0,20,1,0,1,0,0,0,0,0,0,0,0,0,0,20,,,20,0,0,2,2,0,0,1,0,0,0,0,0,8,0,48,288,0,0,3,1,3,1,15,0,253
2011,1,DAL,REG,2011_01_DAL_NYJ,NYJ,23,36,342,2,1,4,-16,1,1,301,155,18,8.01423533054792,3.94959044125345,0,15,6,5,2,26,64,1,0,0,3,-4.70834545220714,0,0,0,0,0,23,36,342,2,0,0,301,155,18,16.3948182709197,0,15,6,5,2,0,49,0,6,0,0,2,4,20,6,1,37,5,0,0,0,0,0,0,0,0,0,1,0,1,0,0,7,40,3,1,2,0,3,2,3,29,2,30,1,1,0,0,34,1,0,0,1,0,0,0,0,0,0,0,0,0,34,,,34,0,0,3,3,0,0,1,0,0,0,0,0,5,1,59,236,2,0,0,1,1,3,13,0,203
2011,1,DEN,REG,2011_01_OAK_DEN,LV,24,46,304,1,1,5,-32,1,1,388,140,17,-2.35206903743103,-7.54250897301568,0,19,7,3,0,13,38,0,1,1,2,-6.35341237590183,0,1,1,0,0,24,45,304,1,2,0,388,140,17,8.1303994728655,0,19,7,3,0,1,47,1,9,0,0,2,1,6,2,0,0,1,0,0,0,0,0,0,0,0,0,2,0,1,0,0,10,91,6,3,1,0,4,2,5,128,0,0,2,3,1,0,30,0.666666666666667,0,1,1,0,0,0,0,0,0,0,1,0,28;30,56,,58,56,0,2,2,0,0,1,0,0,0,0,0,4,0,65,165,1,0,2,2,0,0,0,0,125
