season,week,team,season_type,game_id,opponent_team,completions,attempts,passing_yards,passing_tds,passing_interceptions,sacks_suffered,sack_yards_lost,sack_fumbles,sack_fumbles_lost,passing_air_yards,passing_yards_after_catch,passing_first_downs,passing_epa,passing_cpoe,passing_2pt_conversions,passing_10,passing_16,passing_20,passing_40,carries,rushing_yards,rushing_tds,rushing_fumbles,rushing_fumbles_lost,rushing_first_downs,rushing_epa,rushing_2pt_conversions,rushing_10,rushing_12,rushing_20,rushing_40,receptions,targets,receiving_yards,receiving_tds,receiving_fumbles,receiving_fumbles_lost,receiving_air_yards,receiving_yards_after_catch,receiving_first_downs,receiving_epa,receiving_2pt_conversions,receiving_10,receiving_16,receiving_20,receiving_40,special_teams_tds,def_tackles_solo,def_tackles_with_assist,def_tackle_assists,def_tackles_for_loss,def_tackles_for_loss_yards,def_fumbles_forced,def_sacks,def_sack_yards,def_qb_hits,def_interceptions,def_interception_yards,def_pass_defended,def_tds,def_fumbles,def_safeties,def_punt_blocks,def_pat_blocks,def_fg_blocks,def_2pt_atts,def_2pt_made,misc_yards,fumble_recovery_own,fumble_recovery_yards_own,fumble_recovery_opp,fumble_recovery_yards_opp,fumble_recovery_tds,penalties,penalty_yards,timeouts,fumbles_forced_by_opp,fumbles_not_forced,fumbles_out_of_bounds,fumbles_total,fumbles_lost_total,punt_returns,punt_return_yards,kickoff_returns,kickoff_return_yards,fg_made,fg_att,fg_missed,fg_blocked,fg_long,fg_pct,fg_made_0_19,fg_made_20_29,fg_made_30_39,fg_made_40_49,fg_made_50_59,fg_made_60_,fg_missed_0_19,fg_missed_20_29,fg_missed_30_39,fg_missed_40_49,fg_missed_50_59,fg_missed_60_,fg_made_list,fg_missed_list,fg_blocked_list,fg_made_distance,fg_missed_distance,fg_blocked_distance,pat_made,pat_att,pat_missed,pat_blocked,pat_pct,gwfg_made,gwfg_att,gwfg_missed,gwfg_blocked,gwfg_distance,pt_att,pt_blocked,pt_long,pt_yards,pt_inside_20,pt_out_of_bounds,pt_downed,pt_touchback,pt_fair_caught,pt_returned,pt_return_yards,pt_return_tds,pt_net_yards
2006,1,ARI,REG,2006_01_SF_ARI,SF,23,37,301,3,0,3,-18,2,1,237,155,17,9.04351045818131,-2.85534037126077,0,12,9,3,0,29,84,1,1,0,5,-2.56010473259569,0,1,0,0,0,23,0,301,3,0,0,237,155,17,26.0414843275503,0,12,9,3,0,0,43,6,6,0,0,2,1,2,6,0,0,6,0,0,0,0,0,0,0,0,0,2,-2,2,19,0,11,85,2,2,1,0,3,1,0,0,5,124,2,2,0,0,36,1,0,0,2,0,0,0,0,0,0,0,0,0,36;30,,,66,0,0,4,4,0,0,1,0,0,0,0,0,4,0,49,173,0,0,0,0,1,3,71,0,102
2006,1,ATL,REG,2006_01_ATL_CAR,CAR,10,22,140,2,0,1,-7,0,0,223,71,8,4.21433829509542,-8.16122794693167,0,7,4,2,0,47,252,0,1,0,14,2.34339693966253,0,11,10,3,0,10,0,140,2,0,0,223,71,8,15.2866950210229,0,7,4,2,0,0,38,5,5,0,0,3,4,36,4,1,-5,8,0,0,0,0,0,0,0,0,0,1,0,1,0,0,2,20,4,1,0,0,1,0,3,29,3,87,2,4,1,1,32,0.5,0,1,1,0,0,0,0,0,0,0,1,0,25;32,50,50,57,50,50,2,2,0,0,1,0,0,0,0,0,4,0,51,167,1,1,0,0,0,3,13,0,154
2006,1,BAL,REG,2006_01_BAL_TB,TB,17,27,181,1,0,1,-13,1,0,220,53,9,6.94721365274634,13.871143758297,0,7,2,1,0,34,103,1,3,0,5,-5.14940863230731,0,2,2,1,0,17,0,181,1,0,0,220,53,9,14.4287346024502,0,7,2,1,0,0,39,5,5,0,0,0,3,21,9,3,123,13,1,0,0,0,0,0,0,0,0,3,-4,0,0,0,4,25,3,2,2,1,4,0,5,57,1,18,2,2,0,0,42,1,0,1,0,1,0,0,0,0,0,0,0,0,20;42,,,62,0,0,3,3,0,0,1,0,0,0,0,0,6,0,56,282,0,0,0,1,0,5,47,0,215
2006,1,BUF,REG,2006_01_BUF_NE,NE,15,23,164,0,0,3,-23,0,0,156,89,7,0.724898876730822,14.7329221394929,0,9,3,2,0,24,99,1,1,0,5,-2.94044585980009,0,4,3,0,0,15,0,164,0,0,0,156,89,7,10.9894338329244,0,9,3,2,0,0,20,35,35,0,0,2,3,27,4,1,10,5,0,1,0,0,0,0,0,0,0,3,-5,1,5,1,7,53,3,0,3,0,3,0,1,0,4,110,1,1,0,0,53,1,0,0,0,0,1,0,0,0,0,0,0,0,53,,,53,0,0,2,2,0,0,1,0,0,0,0,0,5,0,54,201,1,2,1,0,1,1,14,0,187
2006,1,CAR,REG,2006_01_ATL_CAR,ATL,21,39,186,0,1,4,-36,2,1,315,55,10,-16.5487545353137,-6.00330147304033,0,8,2,1,0,16,65,0,0,0,4,-1.44939213618636,0,2,0,0,0,21,0,186,0,1,0,315,53,10,5.25750143371988,0,8,2,1,0,0,49,11,19,0,0,1,1,7,6,0,0,2,0,0,0,0,0,1,0,0,0,2,0,0,0,0,8,45,5,3,0,0,3,1,3,13,3,64,2,2,0,0,54,1,0,0,0,1,1,0,0,0,0,0,0,0,54;46,,,100,0,0,0,0,0,0,,0,0,0,0,0,6,0,58,309,2,0,1,2,0,3,29,0,240
2006,1,CHI,REG,2006_01_CHI_GB,GB,19,27,258,1,1,1,-6,0,0,274,82,12,10.763318937851,17.9362071248201,0,10,6,4,1,36,109,0,0,0,4,-8.62885544353479,0,2,1,0,0,19,0,258,1,0,0,274,82,12,21.6995440228528,0,10,6,4,1,1,39,12,14,0,0,1,3,22,6,2,28,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,25,2,0,0,0,0,0,5,104,1,18,4,4,0,0,40,1,0,1,2,1,0,0,0,0,0,0,0,0,40;39;28;30,,,137,0,0,2,2,0,0,1,0,0,0,0,0,4,0,50,189,2,1,0,0,0,3,44,0,145
2006,1,CIN,REG,2006_01_CIN_KC,KC,13,19,127,0,0,1,-7,1,1,132,87,6,-1.52873211937466,1.41142383217812,0,4,1,1,0,34,116,2,1,0,6,-0.692550234787632,0,2,2,1,0,13,0,127,0,0,0,132,87,6,10.0843193830224,0,4,1,1,0,0,55,5,5,0,0,2,7,54,7,1,-1,5,0,0,0,0,0,0,0,0,0,1,-3,2,0,0,5,40,4,1,1,0,2,1,1,2,2,48,3,3,0,0,42,1,0,0,2,1,0,0,0,0,0,0,0,0,37;42;36,,,115,0,0,2,2,0,0,1,0,0,0,0,0,5,0,45,213,0,0,0,2,0,3,5,0,168
2006,1,CLE,REG,2006_01_NO_CLE,NO,16,27,132,1,2,5,-31,0,0,240,71,6,-10.6510294054751,2.41679364442825,0,5,2,0,0,22,85,1,1,1,6,-5.26566888499656,0,3,2,0,0,16,0,132,1,0,0,240,71,6,9.1326892269426,0,5,2,0,0,0,40,15,15,0,0,1,0,0,3,1,10,7,0,0,0,0,0,0,0,0,0,0,-6,1,-3,0,4,35,5,0,1,0,1,1,2,41,5,114,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,2,2,0,0,1,0,0,0,0,0,6,0,56,265,0,2,0,1,0,3,22,0,223
2006,1,DAL,REG,2006_01_DAL_JAX,JAX,16,33,246,1,3,2,-11,0,0,304,85,9,-3.33467318678659,-6.83570907961938,0,12,3,3,1,22,88,1,0,0,4,1.39994425040608,0,2,2,1,0,16,0,246,1,0,0,304,85,9,20.2730738695827,0,12,3,3,1,0,55,0,4,0,0,0,1,8,2,1,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,93,4,0,0,0,0,0,4,22,4,65,1,2,1,0,32,0.5,0,0,1,0,0,0,0,0,1,0,0,0,32,36,,32,36,0,2,2,0,0,1,0,0,0,0,0,5,0,62,266,0,0,0,1,0,4,30,0,216
2006,1,DEN,REG,2006_01_DEN_STL,LA,13,26,138,0,3,4,-40,1,1,233,59,7,-23.7615235785488,-10.5846304893494,0,6,3,0,0,25,161,1,1,1,9,2.04345117268826,0,3,3,2,0,13,0,138,0,0,0,233,59,7,11.0724627421587,0,6,3,0,0,0,48,9,9,0,0,0,3,22,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,30,5,2,0,0,2,2,1,3,4,78,1,1,0,0,49,1,0,0,0,1,0,0,0,0,0,0,0,0,49,,,49,0,0,1,1,0,0,1,0,0,0,0,0,4,0,46,170,0,0,0,1,2,1,0,0,150
