season,week,team,season_type,game_id,opponent_team,completions,attempts,passing_yards,passing_tds,passing_interceptions,sacks_suffered,sack_yards_lost,sack_fumbles,sack_fumbles_lost,passing_air_yards,passing_yards_after_catch,passing_first_downs,passing_epa,passing_cpoe,passing_2pt_conversions,passing_10,passing_16,passing_20,passing_40,carries,rushing_yards,rushing_tds,rushing_fumbles,rushing_fumbles_lost,rushing_first_downs,rushing_epa,rushing_2pt_conversions,rushing_10,rushing_12,rushing_20,rushing_40,receptions,targets,receiving_yards,receiving_tds,receiving_fumbles,receiving_fumbles_lost,receiving_air_yards,receiving_yards_after_catch,receiving_first_downs,receiving_epa,receiving_2pt_conversions,receiving_10,receiving_16,receiving_20,receiving_40,special_teams_tds,def_tackles_solo,def_tackles_with_assist,def_tackle_assists,def_tackles_for_loss,def_tackles_for_loss_yards,def_fumbles_forced,def_sacks,def_sack_yards,def_qb_hits,def_interceptions,def_interception_yards,def_pass_defended,def_tds,def_fumbles,def_safeties,def_punt_blocks,def_pat_blocks,def_fg_blocks,def_2pt_atts,def_2pt_made,misc_yards,fumble_recovery_own,fumble_recovery_yards_own,fumble_recovery_opp,fumble_recovery_yards_opp,fumble_recovery_tds,penalties,penalty_yards,timeouts,fumbles_forced_by_opp,fumbles_not_forced,fumbles_out_of_bounds,fumbles_total,fumbles_lost_total,punt_returns,punt_return_yards,kickoff_returns,kickoff_return_yards,fg_made,fg_att,fg_missed,fg_blocked,fg_long,fg_pct,fg_made_0_19,fg_made_20_29,fg_made_30_39,fg_made_40_49,fg_made_50_59,fg_made_60_,fg_missed_0_19,fg_missed_20_29,fg_missed_30_39,fg_missed_40_49,fg_missed_50_59,fg_missed_60_,fg_made_list,fg_missed_list,fg_blocked_list,fg_made_distance,fg_missed_distance,fg_blocked_distance,pat_made,pat_att,pat_missed,pat_blocked,pat_pct,gwfg_made,gwfg_att,gwfg_missed,gwfg_blocked,gwfg_distance,pt_att,pt_blocked,pt_long,pt_yards,pt_inside_20,pt_out_of_bounds,pt_downed,pt_touchback,pt_fair_caught,pt_returned,pt_return_yards,pt_return_tds,pt_net_yards
2010,1,ARI,REG,2010_01_ARI_STL,LA,22,41,297,1,0,2,-31,1,1,419,131,13,5.93600737068135,0.790882185101509,0,13,10,6,0,21,112,1,2,2,6,-10.6994697111659,0,4,4,2,0,22,40,297,1,1,1,419,131,13,7.6081928985406,0,13,10,6,0,0,67,1,1,0,0,2,2,13,7,3,69,5,0,2,0,0,0,1,0,0,15,3,0,1,0,0,10,72,5,5,2,0,7,4,5,31,3,82,1,1,0,0,22,1,0,1,0,0,0,0,0,0,0,0,0,0,22,,,22,0,0,2,2,0,0,1,0,0,0,0,0,6,0,59,262,2,1,1,0,1,3,28,0,234
2010,1,ATL,REG,2010_01_ATL_PIT,PIT,27,44,252,0,1,2,-15,0,0,369,53,11,-2.24907076901992,-1.15270531454752,0,9,5,2,0,25,58,0,0,0,6,-5.21890232531587,0,0,0,0,0,27,43,252,0,0,0,369,53,11,1.30486098832216,0,9,5,2,0,0,35,12,26,0,0,0,3,25,3,1,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,24,5,0,0,0,0,0,2,20,4,82,3,4,1,0,49,0.75,0,1,1,1,0,0,0,0,0,1,0,0,49;39;23,46,,111,46,0,0,0,0,0,,0,0,0,0,0,7,0,54,281,4,0,2,0,3,2,7,0,274
2010,1,BAL,REG,2010_01_BAL_NYJ,NYJ,20,38,248,0,1,2,-15,1,1,400,64,12,-4.80387244425906,-2.26490485825037,0,9,6,4,0,35,49,1,1,1,2,-15.9840705304232,0,0,0,0,0,20,38,248,0,0,0,400,64,12,2.34768823132659,0,9,6,4,0,0,26,11,13,0,0,2,2,14,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5,38,3,2,0,0,2,2,4,5,4,72,1,1,0,0,25,1,0,1,0,0,0,0,0,0,0,0,0,0,25,,,25,0,0,1,1,0,0,1,0,0,0,0,0,6,0,56,244,2,0,0,0,2,4,62,0,182
2010,1,BUF,REG,2010_01_MIA_BUF,MIA,18,34,139,1,0,3,-23,0,0,220,44,6,-7.51468973800205,-8.1974491928563,0,4,3,1,0,17,50,0,1,0,3,-4.57002042524982,0,1,1,0,0,18,33,139,1,0,0,220,44,6,-1.16084096529736,0,4,3,1,0,0,28,28,40,0,0,0,3,18,8,0,0,5,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,5,35,5,0,1,1,1,0,3,30,1,11,1,2,1,0,51,0.5,0,0,0,0,1,0,0,0,0,0,0,1,51,63,,51,63,0,1,1,0,0,1,0,0,0,0,0,7,0,53,298,1,0,2,1,2,2,9,0,269
2010,1,CAR,REG,2010_01_CAR_NYG,NYG,14,35,182,1,3,4,-34,2,1,270,79,10,-15.8325594498233,-15.3318318812286,0,10,4,2,0,24,89,0,0,0,2,-7.44910779316001,0,1,1,1,0,14,34,182,1,0,0,270,79,10,-6.73650108364335,0,10,4,2,0,0,40,20,20,0,0,1,1,5,3,3,33,5,0,0,1,1,0,0,0,0,0,1,-10,1,0,0,7,63,4,2,1,0,3,2,2,38,7,172,3,3,0,0,52,1,0,1,0,1,1,0,0,0,0,0,0,0,21;52;43,,,116,0,0,1,1,0,0,1,0,0,0,0,0,4,0,48,173,0,0,0,0,0,4,27,0,146
2010,1,CHI,REG,2010_01_DET_CHI,DET,23,35,372,2,1,4,-10,1,1,322,220,15,4.15170859505759,6.35965415409633,0,14,8,5,1,31,101,0,0,0,4,-6.46092598066118,0,3,1,0,0,23,35,372,2,3,2,322,220,15,2.5618372187704,0,14,8,5,1,0,44,6,6,0,0,2,2,23,5,1,7,3,0,0,0,0,0,0,0,0,0,1,0,2,9,0,9,100,1,4,0,0,4,3,5,17,3,70,2,2,0,0,31,1,0,1,1,0,0,0,0,0,0,0,0,0,20;31,,,51,0,0,1,1,0,0,1,0,0,0,0,0,5,0,38,151,4,1,0,1,1,2,3,0,128
2010,1,CIN,REG,2010_01_CIN_NE,NE,34,50,345,2,1,1,-4,0,0,391,120,21,5.21215335245074,5.70539081096649,0,15,5,3,1,25,87,1,2,1,5,-1.82043653048459,0,1,0,0,0,34,50,345,2,0,0,391,120,21,7.23849650530906,0,15,5,3,1,0,25,22,22,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,1,-2,0,0,0,2,5,4,1,1,0,2,1,0,0,4,70,1,1,0,0,54,1,0,0,0,0,1,0,0,0,0,0,0,0,54,,,54,0,0,3,3,0,0,1,0,0,0,0,0,3,0,57,139,0,1,0,1,0,1,4,0,115
2010,1,CLE,REG,2010_01_CLE_TB,TB,21,38,236,1,2,0,0,0,0,363,117,9,-7.62752041160634,-1.96815629800161,0,7,5,3,2,23,104,1,2,1,5,-4.81230653391685,0,3,2,1,0,21,36,236,1,0,0,363,117,9,-7.31134738049509,0,7,5,3,2,0,39,15,19,0,0,1,3,13,5,1,26,7,0,1,0,0,0,0,0,0,0,2,0,1,1,0,5,47,5,3,0,0,3,1,3,29,4,57,0,1,1,0,,0,0,0,0,0,0,0,0,0,0,0,0,1,,62,,0,62,0,2,2,0,0,1,0,0,0,0,0,6,0,52,266,0,0,1,1,0,4,24,0,222
2010,1,DAL,REG,2010_01_DAL_WAS,WAS,31,48,282,1,0,1,-5,0,0,388,142,15,4.07681034539782,1.92496720701456,0,12,4,4,0,22,103,0,0,0,8,3.09680900356034,0,3,1,0,0,31,48,282,1,1,1,388,142,15,-1.44438217324715,0,12,4,4,0,0,27,14,14,0,0,1,1,10,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,91,6,1,0,0,1,1,1,11,3,50,0,1,1,0,,0,0,0,0,0,0,0,0,0,1,0,0,0,,34,,0,34,0,1,1,0,0,1,0,0,0,0,0,6,0,57,244,3,2,2,2,0,0,0,0,204
2010,1,DEN,REG,2010_01_DEN_JAX,JAX,21,33,295,1,1,3,-21,0,0,315,127,14,7.72351732659312,7.43933523243124,0,12,6,6,1,25,89,1,1,1,6,-3.5517543918686,0,3,1,0,0,21,33,295,1,0,0,315,127,14,13.1019646148912,0,12,6,6,1,0,49,0,6,0,0,0,1,5,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,70,4,1,0,0,1,1,1,4,3,62,1,1,0,0,54,1,0,0,0,0,1,0,0,0,0,0,0,0,54,,,54,0,0,2,2,0,0,1,0,0,0,0,0,4,0,51,172,1,0,0,0,1,3,26,0,146
