season,week,team,season_type,game_id,opponent_team,completions,attempts,passing_yards,passing_tds,passing_interceptions,sacks_suffered,sack_yards_lost,sack_fumbles,sack_fumbles_lost,passing_air_yards,passing_yards_after_catch,passing_first_downs,passing_epa,passing_cpoe,passing_2pt_conversions,passing_10,passing_16,passing_20,passing_40,carries,rushing_yards,rushing_tds,rushing_fumbles,rushing_fumbles_lost,rushing_first_downs,rushing_epa,rushing_2pt_conversions,rushing_10,rushing_12,rushing_20,rushing_40,receptions,targets,receiving_yards,receiving_tds,receiving_fumbles,receiving_fumbles_lost,receiving_air_yards,receiving_yards_after_catch,receiving_first_downs,receiving_epa,receiving_2pt_conversions,receiving_10,receiving_16,receiving_20,receiving_40,special_teams_tds,def_tackles_solo,def_tackles_with_assist,def_tackle_assists,def_tackles_for_loss,def_tackles_for_loss_yards,def_fumbles_forced,def_sacks,def_sack_yards,def_qb_hits,def_interceptions,def_interception_yards,def_pass_defended,def_tds,def_fumbles,def_safeties,def_punt_blocks,def_pat_blocks,def_fg_blocks,def_2pt_atts,def_2pt_made,misc_yards,fumble_recovery_own,fumble_recovery_yards_own,fumble_recovery_opp,fumble_recovery_yards_opp,fumble_recovery_tds,penalties,penalty_yards,timeouts,fumbles_forced_by_opp,fumbles_not_forced,fumbles_out_of_bounds,fumbles_total,fumbles_lost_total,punt_returns,punt_return_yards,kickoff_returns,kickoff_return_yards,fg_made,fg_att,fg_missed,fg_blocked,fg_long,fg_pct,fg_made_0_19,fg_made_20_29,fg_made_30_39,fg_made_40_49,fg_made_50_59,fg_made_60_,fg_missed_0_19,fg_missed_20_29,fg_missed_30_39,fg_missed_40_49,fg_missed_50_59,fg_missed_60_,fg_made_list,fg_missed_list,fg_blocked_list,fg_made_distance,fg_missed_distance,fg_blocked_distance,pat_made,pat_att,pat_missed,pat_blocked,pat_pct,gwfg_made,gwfg_att,gwfg_missed,gwfg_blocked,gwfg_distance,pt_att,pt_blocked,pt_long,pt_yards,pt_inside_20,pt_out_of_bounds,pt_downed,pt_touchback,pt_fair_caught,pt_returned,pt_return_yards,pt_return_tds,pt_net_yards
2012,1,ARI,REG,2012_01_SEA_ARI,SEA,20,36,215,1,1,1,-5,1,0,266,74,13,-1.5724413518921,-4.87794097926882,0,10,5,2,0,20,43,1,1,1,2,-8.77019849716453,0,1,1,0,0,20,36,215,1,0,0,266,74,13,-0.221718202171524,0,10,5,2,0,0,54,4,10,3,14,1,3,14,8,1,16,6,0,0,0,0,0,1,0,0,0,1,0,1,0,0,10,102,3,2,0,0,2,1,4,37,1,22,2,2,0,0,31,1,0,1,1,0,0,0,0,0,0,0,0,0,21;31,,,52,0,0,2,2,0,0,1,0,0,0,0,0,5,0,53,238,2,0,0,0,1,4,50,0,188
2012,1,ATL,REG,2012_01_ATL_KC,KC,23,31,299,3,0,1,-7,0,0,241,135,17,21.9960492307297,13.8396540957112,0,12,7,4,0,23,84,1,0,0,4,-1.32808578288153,0,2,0,0,0,23,31,299,3,1,0,241,135,17,23.6255593805841,0,12,7,4,0,0,57,0,4,7,24,1,3,17,5,2,5,7,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,12,1,1,0,1,1,0,0,0,3,112,4,4,0,0,41,1,0,1,2,1,0,0,0,0,0,0,0,0,34;21;30;41,,,126,0,0,4,4,0,0,1,0,0,0,0,0,1,0,52,52,0,0,0,0,0,1,14,0,38
2012,1,BAL,REG,2012_01_CIN_BAL,CIN,23,32,329,2,0,3,-21,0,0,345,100,15,13.3568048304625,11.051956936717,0,14,9,6,1,23,122,2,1,0,8,3.95669556409121,0,5,3,0,0,23,32,329,2,0,0,345,100,15,19.1627400694214,0,14,9,6,1,0,43,11,17,2,18,1,4,28,6,1,34,9,1,0,0,0,0,0,0,0,0,1,-10,1,0,0,6,50,4,0,1,0,1,0,2,18,4,88,3,3,0,0,46,1,0,0,1,2,0,0,0,0,0,0,0,0,46;40;39,,,125,0,0,5,5,0,0,1,0,0,0,0,0,2,0,50,87,1,0,0,0,0,2,19,0,68
2012,1,BUF,REG,2012_01_BUF_NYJ,NYJ,18,32,195,3,3,0,0,0,0,306,62,13,1.88058966468088,-1.27538680098951,0,9,3,3,0,26,195,1,0,0,6,9.12081803183537,0,3,3,2,2,18,32,195,3,1,1,306,62,13,-0.918642286909744,0,9,3,3,0,0,40,0,20,1,1,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,34,3,1,0,0,1,1,1,27,3,71,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,4,4,0,0,1,0,0,0,0,0,2,0,44,81,0,1,0,0,0,1,68,1,13
2012,1,CAR,REG,2012_01_CAR_TB,TB,23,33,303,1,2,3,-12,1,0,378,98,14,3.50501227713539,13.0045782436024,0,13,9,7,1,13,10,0,0,0,1,-7.301071682219,0,0,0,0,0,23,33,303,1,0,0,378,98,14,6.22157843163586,0,13,9,7,1,0,47,4,14,4,13,0,2,10,2,0,0,6,0,1,0,0,0,0,0,0,0,2,0,0,0,0,6,65,4,1,1,0,2,0,3,28,1,31,1,1,0,0,21,1,0,1,0,0,0,0,0,0,0,0,0,0,21,,,21,0,0,1,1,0,0,1,0,0,0,0,0,5,1,47,199,2,0,1,0,3,1,0,0,199
2012,1,CHI,REG,2012_01_IND_CHI,IND,21,35,333,2,1,2,-19,0,0,400,97,15,8.43360290115947,1.66016178471702,0,15,9,7,1,33,114,3,0,0,8,2.51389763051677,0,3,3,2,0,21,35,333,2,0,0,400,97,15,12.0651765656496,0,15,9,7,1,0,39,0,12,4,22,2,3,16,7,3,63,11,0,0,0,0,0,0,0,0,0,0,0,2,0,0,7,48,3,0,0,0,0,0,1,23,2,49,2,2,0,0,35,1,0,1,1,0,0,0,0,0,0,0,0,0,35;26,,,61,0,0,5,5,0,0,1,0,0,0,0,0,5,0,50,208,0,1,0,1,1,2,12,0,176
2012,1,CIN,REG,2012_01_CIN_BAL,BAL,22,37,221,0,1,4,-28,1,1,283,123,10,-16.8417876791917,-6.28442643462001,0,9,3,1,0,28,129,1,1,0,9,5.92748295662017,0,4,4,0,0,22,37,221,0,0,0,283,123,10,-5.74472913351004,0,9,3,1,0,0,42,8,8,4,31,0,3,21,4,0,0,6,0,0,0,0,0,0,0,0,0,1,-5,0,0,0,3,41,1,1,1,0,2,1,2,19,3,64,2,2,0,0,34,1,1,0,1,0,0,0,0,0,0,0,0,0,34;19,,,53,0,0,1,1,0,0,1,0,0,0,0,0,4,0,57,183,1,0,1,0,1,2,18,0,165
2012,1,CLE,REG,2012_01_PHI_CLE,PHI,12,35,118,0,4,2,-7,1,0,289,87,7,-18.7567152880682,-27.0507351841245,0,6,2,2,0,22,99,0,1,0,3,-5.93935634195805,0,2,2,2,0,12,35,118,0,0,0,289,87,7,-18.7034642389361,0,6,2,2,0,0,53,0,16,6,24,2,2,11,11,4,88,14,1,0,0,0,0,0,0,0,0,2,-3,1,0,0,3,35,4,1,1,0,2,0,6,78,4,98,3,3,0,0,43,1,0,1,0,2,0,0,0,0,0,0,0,0,43;42;22,,,107,0,0,1,1,0,0,1,0,0,0,0,0,7,0,54,308,3,0,2,1,3,1,6,0,282
2012,1,DAL,REG,2012_01_DAL_NYG,NYG,22,29,307,3,1,2,-17,0,0,253,107,12,12.9133956927721,12.2528692771649,0,13,6,4,1,26,143,0,0,0,5,1.95887443883112,0,2,2,1,1,22,29,307,3,0,0,253,107,12,16.4843353055216,0,13,6,4,1,0,35,12,14,4,28,1,3,26,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,6,0,13,86,3,0,0,0,0,0,3,3,3,61,1,1,0,0,33,1,0,0,1,0,0,0,0,0,0,0,0,0,33,,,33,0,0,3,3,0,0,1,0,0,0,0,0,2,0,60,108,1,0,0,0,1,1,5,0,103
2012,1,DEN,REG,2012_01_PIT_DEN,PIT,19,26,253,2,0,2,-13,0,0,217,125,11,14.1514886804851,12.7840962547522,1,8,5,2,1,27,94,1,1,1,8,-6.99915826659696,0,2,1,0,0,19,26,253,2,0,0,217,125,11,17.5435252253427,1,8,5,2,1,0,51,0,8,9,40,0,5,36,10,1,43,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6,49,2,1,0,0,1,1,2,22,0,0,1,1,0,0,26,1,0,1,0,0,0,0,0,0,0,0,0,0,26,,,26,0,0,2,2,0,0,1,0,0,0,0,0,2,0,46,90,1,0,0,0,0,2,23,0,67
