fecha,hora,local,visita,marcador,cupo_1,cupo_2,cupo_3,cupo_4,cupo_5
2026-07-18,16:00,Francia,Inglaterra,3-1,2-1,1-2,1-2,3-1,2-1
2026-07-19,14:00,España,Argentina,2-1,1-0,2-1,1-2,2-1,1-2
