fecha,hora,local,visita,marcador,cupo_1,cupo_2,cupo_3,cupo_4,cupo_5
2026-07-09,15:00,Francia,Marruecos,2-1,2-1,3-1,2-0,2-1,3-1
2026-07-10,14:00,España,Bélgica,2-1,2-1,3-1,2-0,2-1,3-1
2026-07-11,16:00,Norway,Inglaterra,1-2,1-2,1-3,1-1,1-2,1-3
2026-07-11,20:00,Argentina,Suiza,2-1,2-1,3-1,2-0,2-1,3-1
