fecha,hora,local,visita,marcador,cupo_1,cupo_2,cupo_3,cupo_4,cupo_5
2026-07-14,14:00,Francia,España,1-2,2-1,2-1,2-2,1-2,1-2
2026-07-15,14:00,Inglaterra,Argentina,2-1,1-2,2-1,1-2,2-1,1-2
