fecha,hora,local,visita,marcador,gl,gv,p_local,p_empate,p_visita,ev_pts,n_casas,cupo_1,cupo_2,cupo_3,cupo_4,cupo_5
2026-06-23,15:00,Inglaterra,Ghana,2-1,2,1,0.718,0.182,0.1,3.45,49,2-1,3-1,2-1,3-1,2-1
2026-06-23,18:00,Panama,Croacia,1-2,1,2,0.145,0.236,0.618,3.4,49,1-2,1-2,1-2,1-2,1-2
2026-06-23,21:00,Colombia,DR Congo,2-1,2,1,0.636,0.235,0.129,3.35,49,2-1,2-1,2-1,2-1,2-1
2026-06-24,14:00,Bosnia & Herzegovina,Qatar,2-1,2,1,0.608,0.235,0.157,3.38,46,2-1,2-1,2-1,2-1,2-1
2026-06-24,14:00,Suiza,Canadá,1-1,1,1,0.45,0.283,0.267,3.14,47,1-1,1-1,1-1,2-1,1-1
2026-06-24,17:00,Scotland,Brasil,1-2,1,2,0.144,0.208,0.649,3.43,41,1-2,1-2,1-2,1-2,1-2
2026-06-24,17:00,Marruecos,Haiti,2-1,2,1,0.711,0.189,0.1,3.46,41,2-1,2-1,2-1,3-1,2-1
2026-06-24,20:00,Czech Republic,México,1-2,1,2,0.223,0.271,0.506,3.23,41,1-2,1-2,1-2,1-2,1-1
2026-06-24,20:00,Sudáfrica,Corea del Sur,1-1,1,1,0.249,0.285,0.466,3.13,41,1-1,1-1,1-1,1-1,1-1
2026-06-25,15:00,Curaçao,Costa de Marfil,1-2,1,2,0.072,0.157,0.771,3.38,40,1-2,1-2,1-3,1-2,1-3
2026-06-25,15:00,Ecuador,Alemania,1-2,1,2,0.198,0.25,0.552,3.35,41,1-2,1-2,1-2,1-2,1-2
2026-06-25,18:00,Japón,Sweden,1-1,1,1,0.454,0.279,0.268,3.12,40,1-1,2-1,1-1,1-1,1-1
2026-06-25,18:00,Tunisia,Países Bajos,1-2,1,2,0.145,0.224,0.631,3.42,40,1-2,1-2,1-2,1-2,1-2
2026-06-25,21:00,Paraguay,Australia,1-1,1,1,0.436,0.293,0.272,3.16,40,1-1,1-1,1-1,1-1,2-1
2026-06-25,21:00,Turkey,USA,1-1,1,1,0.348,0.276,0.376,3.07,40,1-1,1-2,1-1,1-1,1-2
2026-06-26,14:00,Norway,Francia,1-2,1,2,0.218,0.261,0.521,3.3,40,1-2,1-2,1-2,1-2,1-2
2026-06-26,14:00,Senegal,Iraq,2-1,2,1,0.657,0.218,0.125,3.4,40,2-1,2-1,2-1,2-1,2-1
2026-06-26,19:00,Cape Verde,Arabia Saudita,1-1,1,1,0.362,0.29,0.349,3.17,40,1-1,1-1,1-1,1-1,1-1
2026-06-26,19:00,Uruguay,España,1-2,1,2,0.178,0.246,0.576,3.38,40,1-2,1-2,1-2,1-2,1-2
2026-06-26,22:00,New Zealand,Bélgica,1-2,1,2,0.094,0.171,0.735,3.44,40,1-2,1-2,1-3,1-3,1-2
2026-06-26,22:00,Egipto,Iran,1-1,1,1,0.42,0.311,0.269,3.22,40,1-1,1-1,1-1,1-1,1-1
2026-06-27,16:00,Croacia,Ghana,2-1,2,1,0.57,0.254,0.176,3.33,40,2-1,2-1,2-1,2-1,2-1
2026-06-27,16:00,Panama,Inglaterra,1-2,1,2,0.099,0.171,0.73,3.46,40,1-2,1-2,1-2,1-3,1-3
2026-06-27,18:30,Colombia,Portugal,1-1,1,1,0.271,0.283,0.445,3.11,41,1-1,1-1,1-1,1-2,1-1
2026-06-27,18:30,DR Congo,Uzbekistan,1-1,1,1,0.404,0.293,0.303,3.18,41,1-1,1-1,2-1,1-1,1-1
2026-06-27,21:00,Algeria,Austria,1-1,1,1,0.276,0.293,0.431,3.15,40,1-1,1-2,1-2,1-1,1-1
2026-06-27,21:00,Jordan,Argentina,1-2,1,2,0.072,0.147,0.781,3.4,40,1-2,1-2,1-2,1-2,1-2
