fecha,hora,local,visita,marcador,cupo_1,cupo_2,cupo_3,cupo_4,cupo_5
2026-07-04,12:00,Canadá,Marruecos,1-2,1-2,1-2,1-3,1-2,0-2
2026-07-04,16:00,Paraguay,Francia,1-2,1-3,1-3,1-3,1-2,0-2
2026-07-05,15:00,Brasil,Norway,2-1,2-1,2-1,3-1,2-1,1-1
2026-07-05,19:00,México,Inglaterra,1-2,1-1,1-1,1-1,1-2,2-1
2026-07-06,14:00,Portugal,España,1-2,1-2,1-2,1-3,1-2,1-1
2026-07-06,19:00,USA,Bélgica,1-2,1-2,2-1,2-1,1-2,1-1
2026-07-07,11:00,Argentina,Egipto,2-1,2-1,2-1,2-0,2-1,3-1
2026-07-07,15:00,Suiza,Colombia,1-2,1-2,1-2,1-1,1-2,2-1
