nombre,pos,rank_pos,edad,proj_mercado,g_proj,pg,eg,total_v2,vbd2,espn_id
Lathan Ransom,S,86,24,66.6,17.0,3.92,13.6,53.3,-134.1,4429110
Xavier Hutchinson,WR,121,26,35.4,17.0,2.08,12.4,25.7,-134.2,4686422
Malachi Fields,WR,122,23,35.2,17.0,2.07,12.4,25.6,-134.3,4682648
Troy Franklin,WR,108,23,53.1,17.0,3.12,13.8,43.1,-135.0,4431280
Josh Blackwell,CB,138,27,19.5,17.0,1.15,13.0,15.0,-135.2,4240459
Odell Beckham Jr.,WR,123,34,33.9,17.0,1.99,12.4,24.6,-135.3,16733
Olamide Zaccheaus,WR,124,29,33.4,17.0,1.97,12.4,24.3,-135.5,3917914
Dont'e Thornton Jr.,WR,125,24,33.4,17.0,1.97,12.4,24.3,-135.5,4432775
Jay Ward,S,87,26,64.2,17.0,3.78,13.6,51.3,-136.0,4568007
Isaiah Bond,WR,126,22,32.2,17.0,1.9,12.4,23.4,-136.4,4808839
T.J. Tampa,CB,139,24,16.9,17.0,0.99,13.0,13.0,-137.3,4575483
Ephesians Prysock,CB,140,23,16.5,17.0,0.97,13.0,12.7,-137.5,4685523
Brandin Echols,CB,141,29,16.1,17.0,0.95,13.0,12.3,-137.8,4567979
Charles Woods,CB,142,26,16.2,17.0,0.95,13.0,12.4,-137.8,4368113
Konata Mumpfield,WR,127,24,30.1,17.0,1.77,12.4,21.9,-138.0,4710855
Christian Braswell,CB,144,27,15.6,17.0,0.92,13.0,11.9,-138.2,4257580
Mack Hollins,WR,128,33,29.0,17.0,1.71,12.4,21.1,-138.8,2991662
Brenen Thompson,WR,129,23,29.1,17.0,1.71,12.4,21.2,-138.8,4685553
Keionte Scott,CB,146,25,14.4,17.0,0.85,13.0,11.0,-139.1,5093694
Karon Prunty,CB,147,25,14.4,17.0,0.85,13.0,11.0,-139.1,4606666
Chimere Dike,WR,132,25,27.1,17.0,1.6,12.4,19.7,-140.1,4431268
Kitan Oladapo,S,89,26,58.8,17.0,3.46,13.6,47.0,-140.4,4374037
Mike Brown,S,111,27,22.9,17.0,1.35,11.3,15.3,-140.5,4244310
Devin Moore,CB,148,23,12.4,17.0,0.73,13.0,9.5,-140.7,4702577
Daniel Thomas,S,112,28,22.3,17.0,1.31,11.3,14.9,-140.9,4035505
Kris Abrams-Draine,CB,149,25,11.1,17.0,0.65,13.0,8.5,-141.7,4429193
Deonte Banks,CB,150,,10.8,17.0,0.64,13.0,8.3,-141.8,4428328
Tremon Smith,CB,151,30,10.8,17.0,0.64,13.0,8.3,-141.8,3134448
Daylen Everette,CB,152,22,10.4,17.0,0.61,13.0,8.0,-142.2,4685327
Julian Neal,CB,153,23,10.4,17.0,0.61,13.0,7.9,-142.2,4684543
Charles Demmings,CB,154,23,10.3,17.0,0.61,13.0,7.9,-142.2,5091793
Toriano Pride Jr.,CB,155,23,10.3,17.0,0.61,13.0,7.9,-142.2,4698598
Chandler Rivers,CB,156,23,10.3,17.0,0.61,13.0,7.9,-142.2,4702918
Nikko Reed,CB,157,23,10.4,17.0,0.61,13.0,7.9,-142.2,4691043
