team_id,equipo,espn_id,jugador,pos,slot_final,orden_espn
16,el.ai.on,4431459,Tyler Warren,TE,TE,88
4,Bolivia,3929645,Juwan Johnson,TE,TE,89
15,Victorious Secret,3121023,Dallas Goedert,TE,TE,90
2,Ayayay,4723086,Colston Loveland,TE,TE,91
10,No Team for Old Men,4432665,Brock Bowers,TE,TE,92
17,Guru Vibes Only,4361050,Isaiah Likely,TE,TE,93
1,ComNich,4430027,Sam LaPorta,TE,TE,94
7,Good Boy Tua,4242355,Jake Ferguson,TE,TE,95
13,Ferchos,15847,Travis Kelce,TE,TE,96
13,Ferchos,4036378,Jordan Love,QB,OP,97
7,Good Boy Tua,4035538,David Montgomery,RB,OP,98
1,ComNich,3046779,Jared Goff,QB,OP,99
17,Guru Vibes Only,3917315,Kyler Murray,QB,OP,100
10,No Team for Old Men,14880,Kirk Cousins,QB,OP,101
2,Ayayay,3139477,Patrick Mahomes,QB,OP,102
15,Victorious Secret,2578570,Jacoby Brissett,QB,OP,103
4,Bolivia,3917792,Daniel Jones,QB,OP,104
16,el.ai.on,4360689,Tyler Shough,QB,OP,105
3,Raw Dawg,4241985,J.K. Dobbins,RB,OP,106
11,Injury Report ,8439,Aaron Rodgers,QB,OP,107
8,Back 2 Back,4426338,Bo Nix,QB,OP,108
14,EZWAR,4685720,Bryce Young,QB,OP,109
12,KeepMyTeamNameOuttaYoFMouth,4242512,Malik Willis,QB,OP,110
9,Panamanian P!mps,4688380,Cam Ward,QB,OP,111
18,Team 18,15864,Geno Smith,QB,OP,112
18,Team 18,4035369,Jeffery Simmons,DT,DT,113
9,Panamanian P!mps,2971282,DeForest Buckner,DT,DT,114
12,KeepMyTeamNameOuttaYoFMouth,4035495,Derrick Brown,DT,DT,115
14,EZWAR,4239699,Milton Williams,DT,DT,116
8,Back 2 Back,4361366,Tommy Togiai,DT,DT,117
11,Injury Report ,4039303,Ed Oliver,DT,DT,118
3,Raw Dawg,4426694,Keeanu Benton,DT,DT,119
16,el.ai.on,4360277,Jalen Redmond,DT,DT,120
4,Bolivia,4381558,Jordan Davis,DT,DT,121
15,Victorious Secret,4570040,Byron Murphy II,DT,DT,122
2,Ayayay,4040982,Quinnen Williams,DT,DT,123
10,No Team for Old Men,3044859,Chris Jones,DT,DT,124
17,Guru Vibes Only,4685759,Jalen Carter,DT,DT,125
1,ComNich,2971622,Leonard Williams,DT,DT,126
7,Good Boy Tua,4039064,Malcolm Roach,DT,DT,127
13,Ferchos,13977,Cameron Heyward,DT,DT,128
13,Ferchos,4426473,Laiatu Latu,DE,DE,129
7,Good Boy Tua,4875196,Byron Young,DE,DE,130
1,ComNich,3045282,T.J. Watt,DE,DE,131
17,Guru Vibes Only,4372099,Aidan Hutchinson,DE,DE,132
10,No Team for Old Men,4037333,Alex Highsmith,DE,DE,133
2,Ayayay,2976560,Danielle Hunter,DE,DE,134
15,Victorious Secret,3052743,Trey Hendrickson,DE,DE,135
4,Bolivia,4565190,Dallas Turner,DE,DE,136
16,el.ai.on,4040605,Nick Bosa,DE,DE,137
3,Raw Dawg,4431442,Tuli Tuipulotu,DE,DE,138
11,Injury Report ,4685724,Will Anderson Jr.,DE,DE,139
8,Back 2 Back,3122132,Myles Garrett,DE,DE,140
14,EZWAR,3133487,Andrew Van Ginkel,DE,DE,141
12,KeepMyTeamNameOuttaYoFMouth,3916655,Maxx Crosby,DE,DE,142
9,Panamanian P!mps,4241986,Chase Young,DE,DE,143
18,Team 18,4035631,Brian Burns,DE,DE,144
18,Team 18,3138826,Fred Warner,LB,LB,145
9,Panamanian P!mps,4429834,Cedric Gray,LB,LB,146
12,KeepMyTeamNameOuttaYoFMouth,3728281,Blake Cashman,LB,LB,147
14,EZWAR,3915189,Roquan Smith,LB,LB,148
8,Back 2 Back,4876017,Carson Schwesinger,LB,LB,149
11,Injury Report ,4043130,Jordyn Brooks,LB,LB,150
3,Raw Dawg,4426340,Nakobe Dean,LB,LB,151
16,el.ai.on,4362759,Nick Bolton,LB,LB,152
4,Bolivia,4362851,Ernest Jones IV,LB,LB,153
15,Victorious Secret,3050073,Foyesade Oluokun,LB,LB,154
2,Ayayay,3919117,Azeez Al-Shaair,LB,LB,155
10,No Team for Old Men,4379416,Quay Walker,LB,LB,156
17,Guru Vibes Only,3917657,Zack Baun,LB,LB,157
1,ComNich,4243181,Nate Landman,LB,LB,158
7,Good Boy Tua,3129446,Robert Spillane,LB,LB,159
13,Ferchos,4569465,Jack Campbell,LB,LB,160
13,Ferchos,4431321,Dru Phillips,CB,CB,161
7,Good Boy Tua,4248911,DaRon Bland,CB,CB,162
1,ComNich,4682618,Cooper DeJean,CB,CB,163
17,Guru Vibes Only,4360853,Talanoa Hufanga,S,S,164
10,No Team for Old Men,4426405,Trent McDuffie,CB,CB,165
2,Ayayay,3126356,Marlon Humphrey,CB,CB,166
15,Victorious Secret,4575431,Devon Witherspoon,CB,CB,167
4,Bolivia,4249128,Quentin Lake,CB,CB,168
16,el.ai.on,4685415,Travis Hunter,WR,CB,169
3,Raw Dawg,4242547,Paulson Adebo,CB,CB,170
11,Injury Report ,4241223,Jalen Pitre,CB,CB,171
8,Back 2 Back,4379397,Tyson Campbell,CB,CB,172
14,EZWAR,4369835,Alontae Taylor,CB,CB,173
12,KeepMyTeamNameOuttaYoFMouth,4869523,Nick Emmanwori,CB,CB,174
9,Panamanian P!mps,4686772,Christian Gonzalez,CB,CB,175
18,Team 18,4602699,Kamari Lassiter,CB,CB,176
18,Team 18,4428522,Tykee Smith,S,S,177
9,Panamanian P!mps,3925345,Minkah Fitzpatrick,S,S,178
12,KeepMyTeamNameOuttaYoFMouth,4575517,Kyle Hamilton,S,S,179
14,EZWAR,3919512,Jessie Bates III,S,S,180
8,Back 2 Back,4567098,Jordan Battle,S,S,181
11,Injury Report ,3691739,Derwin James Jr.,S,S,182
3,Raw Dawg,4361964,Chamarri Conner,S,S,183
16,el.ai.on,3127287,Budda Baker,S,S,184
4,Bolivia,4043169,Jeremy Chinn,S,S,185
15,Victorious Secret,4241470,Xavier McKinney,S,S,186
2,Ayayay,4046537,Joshua Metellus,S,S,187
10,No Team for Old Men,4034790,Antoine Winfield Jr.,S,S,188
17,Guru Vibes Only,-16021,Eagles D/ST,DST,DST,189
1,ComNich,4242154,Kam Curl,S,S,190
7,Good Boy Tua,4043089,Jalen Thompson,S,S,191
13,Ferchos,4426403,Nick Cross,S,S,192
13,Ferchos,-16016,Vikings D/ST,DST,DST,193
7,Good Boy Tua,-16007,Broncos D/ST,DST,DST,194
1,ComNich,-16030,Jaguars D/ST,DST,DST,195
17,Guru Vibes Only,17372,Chris Boswell,K,K,196
10,No Team for Old Men,-16033,Ravens D/ST,DST,DST,197
2,Ayayay,-16024,Chargers D/ST,DST,DST,198
15,Victorious Secret,-16026,Seahawks D/ST,DST,DST,199
4,Bolivia,-16005,Browns D/ST,DST,DST,200
16,el.ai.on,-16023,Steelers D/ST,DST,DST,201
3,Raw Dawg,-16012,Chiefs D/ST,DST,DST,202
11,Injury Report ,-16009,Packers D/ST,DST,DST,203
8,Back 2 Back,-16034,Texans D/ST,DST,DST,204
14,EZWAR,-16017,Patriots D/ST,DST,DST,205
12,KeepMyTeamNameOuttaYoFMouth,-16010,Titans D/ST,DST,DST,206
9,Panamanian P!mps,-16014,Rams D/ST,DST,DST,207
18,Team 18,-16008,Lions D/ST,DST,DST,208
18,Team 18,3055899,Harrison Butker,K,K,209
9,Panamanian P!mps,4571557,Spencer Shrader,K,K,210
12,KeepMyTeamNameOuttaYoFMouth,3150744,Chase McLaughlin,K,K,211
14,EZWAR,4360234,Evan McPherson,K,K,212
8,Back 2 Back,4686361,Cam Little,K,K,213
11,Injury Report ,2473037,Jason Myers,K,K,214
3,Raw Dawg,17427,Cairo Santos,K,K,215
16,el.ai.on,4362081,Cameron Dicker,K,K,216
4,Bolivia,4567104,Will Reichard,K,K,217
15,Victorious Secret,2971573,Ka'imi Fairbairn,K,K,218
2,Ayayay,4689936,Jake Bates,K,K,219
10,No Team for Old Men,4574716,Harrison Mevis,K,K,220
17,Guru Vibes Only,4432620,Parker Washington,WR,BANCA,221
1,ComNich,3953687,Brandon Aubrey,K,K,222
