nombre,pos,rank_pos,edad,pg,eg,total_v2,vbd2,espn_id,p10,p25,p50,p75,p90
Samson Ebukam,DE,70,31,2.39,13.4,31.9,-22.4,3045527,13.5,22.6,32.3,42.7,54.6
Tim Settle,DT,122,29,0.9,10.7,9.6,-22.4,3929956,2.3,5.8,9.7,13.5,18.1
Greg Dulcich,TE,26,26,7.42,10.0,74.1,-22.5,4367209,15.1,33.2,67.0,114.9,176.3
Jaycee Horn,CB,73,27,3.57,13.0,46.6,-22.5,4362847,18.4,31.9,48.1,62.4,78.7
Chau Smith-Wade,CB,74,24,3.57,13.0,46.5,-22.5,4697636,19.3,32.6,46.8,62.1,80.4
K'Lavon Chaisson,DE,71,27,2.37,13.4,31.7,-22.6,4242205,13.8,22.1,31.5,41.8,53.4
Trevis Gipson,DE,85,29,1.99,10.9,21.7,-22.6,3917016,6.5,13.6,21.7,31.2,40.9
Cobie Durant,CB,75,28,3.56,13.0,46.5,-22.6,4384549,20.1,32.8,47.6,63.2,79.0
Matthew Butler,DT,123,27,0.88,10.7,9.5,-22.6,4242457,2.4,5.5,9.6,14.0,18.3
JuJu Brents,CB,76,26,3.55,13.0,46.3,-22.8,4360488,46.1,46.1,46.1,46.1,46.1
Trey Amos,CB,85,24,3.12,10.5,32.7,-22.9,4574689,8.2,18.0,31.2,46.0,59.0
Mike Hall Jr.,DT,130,23,0.84,10.7,9.0,-23.0,4600415,2.1,5.0,8.8,12.9,16.6
Neville Gallimore,DT,112,29,1.18,12.9,15.3,-23.3,3892883,6.5,10.9,15.7,20.8,27.0
Mekhi Wingo,DT,113,23,1.18,12.9,15.2,-23.3,4586333,15.2,15.2,15.2,15.2,15.2
Nick Herbig,DE,72,25,2.31,13.4,30.9,-23.4,4429164,14.6,22.0,31.8,41.8,54.0
Brenton Cox Jr.,DE,73,26,2.31,13.4,30.9,-23.4,4361776,31.0,31.0,31.0,31.0,31.0
Shemar Stewart,DE,88,23,1.9,10.9,20.6,-23.5,4685562,4.6,11.8,20.0,28.4,38.0
Christian Harris,LB,48,25,5.16,12.2,63.1,-23.7,4567099,17.4,35.6,61.6,91.7,131.8
R Mason Thomas,DE,74,22,2.29,13.4,30.6,-23.7,5081927,30.7,30.7,30.7,30.7,30.7
Martin Emerson Jr.,CB,77,26,3.48,13.0,45.4,-23.7,4429568,45.2,45.2,45.2,45.2,45.2
Vernon Broughton,DT,114,25,1.15,12.9,14.8,-23.7,4429040,14.8,14.8,14.8,14.8,14.8
Roger McCreary,CB,79,26,3.45,13.0,45.1,-24.0,4371973,17.2,31.3,46.3,60.3,76.1
Jonathon Brooks,RB,39,23,10.41,11.4,118.3,-24.1,4678008,118.7,118.7,118.7,118.7,118.7
Gunnar Helm,TE,24,24,7.78,12.8,99.6,-24.2,4686728,29.4,53.5,93.4,148.3,215.5
Eric Wilson,LB,45,32,5.36,13.9,74.7,-24.2,3056916,34.9,53.7,75.1,93.1,106.4
L'Jarius Sneed,CB,81,29,3.43,13.0,44.7,-24.3,4040432,44.6,44.6,44.6,44.6,44.6
Colby Wooden,DT,115,26,1.09,12.9,14.1,-24.5,4567224,5.9,9.5,14.1,18.9,24.3
Jonah Elliss,DE,92,23,1.8,10.9,19.5,-24.6,4687592,5.1,11.4,19.5,28.2,35.6
Matt Dickerson,DT,136,31,0.69,10.7,7.3,-24.6,3134316,1.8,3.9,7.2,10.6,13.8
Joshua Farmer,DT,137,23,0.69,10.7,7.4,-24.6,4611993,1.7,4.1,7.3,10.4,13.7
Kwity Paye,DE,75,28,2.21,13.4,29.6,-24.8,4258194,12.3,19.8,29.2,39.3,49.3
Baron Browning,DE,76,27,2.21,13.4,29.6,-24.8,4241987,12.9,21.0,30.0,39.4,50.3
Keldric Faulk,DE,77,22,2.2,13.4,29.4,-24.9,4870707,29.5,29.5,29.5,29.5,29.5
Eric Gregory,DT,116,26,1.06,12.9,13.8,-24.9,4567171,13.7,13.7,13.7,13.7,13.7
Cody Barton,LB,49,30,5.05,12.2,61.8,-25.0,3926229,15.2,33.6,60.6,89.8,122.2
Felix Anudike-Uzomah,DE,78,24,2.17,13.4,29.0,-25.3,4612387,29.1,29.1,29.1,29.1,29.1
Jaylahn Tuimoloau,DE,94,23,1.74,10.9,18.9,-25.3,4566154,4.2,11.1,18.7,27.7,35.9
Elijah Molden,S,61,27,3.66,11.3,41.5,-25.3,4243328,13.2,24.7,42.7,59.6,78.2
Landon Jackson,DT,118,23,1.03,12.9,13.3,-25.3,4432715,13.3,13.3,13.3,13.3,13.3
Chidobe Awuzie,CB,82,31,3.34,13.0,43.6,-25.5,3052101,18.8,30.8,43.8,59.1,74.7
Kalia Davis,DT,119,28,1.01,12.9,13.0,-25.5,4243541,5.6,9.1,12.9,17.1,22.2
Isaiah McGuire,DE,79,25,2.15,13.4,28.7,-25.6,4427963,12.7,20.3,29.3,38.6,50.7
Zaven Collins,DE,80,27,2.14,13.4,28.6,-25.7,4244606,12.4,19.5,28.8,37.6,48.1
Tavius Robinson,DE,96,27,1.69,10.9,18.4,-25.8,4690179,4.8,10.7,18.3,26.3,34.9
Lonnie Johnson Jr.,S,62,31,3.61,11.3,40.9,-25.9,4240780,12.0,23.8,40.3,56.7,75.5
Dolphins D/ST,DST,32,,6.47,17.0,109.9,-26.3,-16015,109.9,109.9,109.9,109.9,109.9
Tonka Hemingway,DT,144,25,0.53,10.7,5.6,-26.3,4429109,1.5,3.4,5.9,8.2,11.0
RJ Harvey,RB,38,25,10.46,12.8,133.9,-26.4,4568490,33.5,68.2,124.8,193.7,280.5
CJ Allen,LB,50,21,4.94,12.2,60.4,-26.4,4870598,60.3,60.3,60.3,60.3,60.3
Elijah Ponder,DE,82,24,2.07,13.4,27.7,-26.7,4688432,12.2,19.5,27.5,36.4,46.4
Byron Young,DT,121,26,0.92,12.9,11.9,-26.7,4567123,4.7,8.2,12.2,16.2,21.0
BJ Ojulari,DE,102,24,1.59,10.9,17.3,-26.9,4429111,3.9,10.1,17.1,24.4,31.9
Marcus Epps,S,63,30,3.52,11.3,39.9,-26.9,3139368,11.8,24.1,40.6,57.0,74.4
Chig Okonkwo,TE,25,27,7.55,12.8,96.6,-27.1,4360635,28.4,53.7,91.1,143.4,211.8
Drake Thomas,LB,51,26,4.87,12.2,59.6,-27.2,4428659,15.3,32.6,57.9,88.5,124.7
A.J. Haulcy,S,60,22,3.9,13.6,53.0,-27.2,4905664,53.0,53.0,53.0,53.0,53.0
Zion Young,DE,84,22,2.02,13.4,27.0,-27.3,4839501,27.1,27.1,27.1,27.1,27.1
Skyler Gill-Howard,DT,124,24,0.87,12.9,11.2,-27.3,5103940,11.2,11.2,11.2,11.2,11.2
Shemar Turner,DT,125,23,0.86,12.9,11.1,-27.5,4432804,11.1,11.1,11.1,11.1,11.1
Elijah Roberts,DT,126,25,0.85,12.9,11.0,-27.6,4690795,4.7,7.9,11.2,14.8,18.7
Omarr Norman-Lott,DT,127,24,0.85,12.9,11.0,-27.6,4591008,11.0,11.0,11.0,11.0,11.0
Isaiahh Loudermilk,DT,128,29,0.85,12.9,11.0,-27.6,4035798,11.0,11.0,11.0,11.0,11.0
Albert Regis,DT,129,23,0.85,12.9,11.0,-27.6,4612298,11.0,11.0,11.0,11.0,11.0
Adin Huntington,DT,152,24,0.4,10.7,4.3,-27.7,4605792,1.1,2.6,4.4,6.3,8.4
Kader Kohou,CB,83,28,3.16,13.0,41.2,-27.8,4291489,41.1,41.1,41.1,41.1,41.1
Brandon Pili,DT,154,27,0.39,10.7,4.2,-27.8,4259651,1.0,2.4,4.2,5.9,7.7
Tyler Onyedim,DT,131,23,0.83,12.9,10.7,-27.9,4683535,10.7,10.7,10.7,10.7,10.7
L.J. Collier,DT,132,31,0.81,12.9,10.5,-28.1,3116449,10.4,10.4,10.4,10.4,10.4
Greg Newsome II,CB,84,26,3.13,13.0,40.8,-28.2,4361266,16.5,28.5,41.5,55.0,69.2
Rakeem Nunez-Roches,DT,158,33,0.35,10.7,3.8,-28.2,2575453,1.0,2.2,3.7,5.3,7.2
Christian Elliss,LB,53,27,4.78,12.2,58.5,-28.3,4245273,15.8,31.5,57.5,85.1,117.7
Cameron Jordan,DE,86,37,1.95,13.4,26.0,-28.3,13971,11.4,18.6,26.6,35.0,44.9
Ventrell Miller,LB,54,27,4.76,12.2,58.2,-28.5,4240610,14.5,31.0,54.6,82.7,117.3
Deatrich Wise Jr.,DT,133,32,0.77,12.9,9.9,-28.6,2980080,9.9,9.9,9.9,9.9,9.9
LaBryan Ray,DT,160,29,0.32,10.7,3.4,-28.6,4241473,0.9,1.8,3.4,4.9,6.4
Sam Okuayinonu,DE,87,28,1.91,13.4,25.5,-28.8,4569497,10.6,17.9,25.7,34.5,44.4
Derrick Barnes,LB,55,27,4.73,12.2,57.8,-28.9,4260409,15.6,31.6,55.4,82.6,114.3
Tony Jefferson,S,67,34,3.34,11.3,37.9,-28.9,16195,11.6,22.8,38.1,54.0,71.8
Bobby Jamison-Travis,DT,134,25,0.74,12.9,9.6,-29.0,5159928,9.5,9.5,9.5,9.5,9.5
Dominique Robinson,DE,111,28,1.39,10.9,15.1,-29.1,4244300,3.8,8.7,14.6,21.0,27.9
Denzel Burke,CB,86,24,3.04,13.0,39.7,-29.4,4432668,16.7,29.0,41.2,53.8,69.3
Mazi Smith,DT,164,25,0.24,10.7,2.5,-29.4,4426347,0.6,1.4,2.6,3.7,4.8
Jer'Zhan Newton,DT,135,24,0.7,12.9,9.1,-29.5,4430560,3.7,6.3,9.1,12.4,16.0
Tyrion Ingram-Dawkins,DE,89,23,1.85,13.4,24.8,-29.6,4629149,10.4,17.6,25.2,33.7,42.4
Naquan Jones,DT,165,28,0.22,10.7,2.4,-29.6,4046716,0.6,1.4,2.4,3.4,4.4
Blake Corum,RB,40,26,10.2,12.8,130.5,-29.7,4429096,36.8,67.6,124.5,189.1,262.7
Al-Quadin Muhammad,DE,90,31,1.84,13.4,24.7,-29.7,3051942,10.6,17.1,24.4,32.7,42.3
Donte Jackson,CB,87,31,3.01,13.0,39.2,-29.8,3843769,15.5,27.5,40.2,53.3,67.3
Levi Onwuzurike,DT,138,28,0.68,12.9,8.8,-29.8,4039020,8.8,8.8,8.8,8.8,8.8
Josaiah Stewart,DE,91,23,1.83,13.4,24.5,-29.9,4682983,10.7,17.5,24.8,32.5,42.0
Ty Hamilton,DT,139,24,0.67,12.9,8.6,-29.9,4431118,3.9,6.2,8.8,11.6,15.1
Denzel Perryman,LB,60,34,4.04,9.8,39.6,-30.0,2579621,8.6,19.6,36.2,59.6,90.5
Benito Jones,DT,140,29,0.64,12.9,8.3,-30.3,4035299,3.5,5.7,8.4,11.1,14.3
Ty Robinson,DT,167,25,0.15,10.7,1.6,-30.4,4569586,0.4,0.9,1.6,2.2,3.0
Calvin Ridley,WR,57,32,9.0,12.4,111.2,-30.5,3925357,111.6,111.6,111.6,111.6,111.6
Cameron Thomas,DE,93,26,1.78,13.4,23.8,-30.6,4361510,10.6,17.4,24.7,32.7,41.7
Jackie Marshall,DT,141,23,0.62,12.9,8.0,-30.6,5081785,8.0,8.0,8.0,8.0,8.0
Myles Harden,CB,88,25,2.93,13.0,38.2,-30.8,4695783,15.6,26.3,38.7,50.3,63.8
Kris Jenkins Jr.,DT,142,25,0.6,12.9,7.8,-30.8,4432301,3.1,5.3,7.8,10.4,13.4
Mike Gesicki,TE,29,31,6.57,10.0,65.6,-31.0,3116164,13.6,30.0,60.3,103.7,160.5
Shavon Revel Jr.,CB,94,25,2.35,10.5,24.7,-31.0,5095865,5.5,12.8,23.7,33.9,46.7
Chris McClellan,DT,143,23,0.59,12.9,7.6,-31.0,4820574,7.6,7.6,7.6,7.6,7.6
Dondrea Tillman,DE,95,28,1.71,13.4,22.8,-31.5,5216101,9.8,15.8,23.3,30.4,38.9
Dee Winters,LB,52,26,4.82,13.9,67.2,-31.7,4428914,29.3,48.8,67.6,83.6,97.0
Mekhi Blackmon,CB,89,27,2.86,13.0,37.3,-31.7,4360677,15.4,25.9,38.2,49.8,62.6
PJ Mustipher,DT,145,27,0.53,12.9,6.9,-31.7,4361421,3.0,4.8,6.9,9.3,11.9
Micheal Clemons,DE,97,29,1.68,13.4,22.5,-31.9,4240896,9.9,16.1,22.9,29.9,37.9
Gabe Jacas,DE,98,22,1.66,13.4,22.2,-32.2,4837244,22.2,22.2,22.2,22.2,22.2
Kingsley Enagbare,DE,99,26,1.64,13.4,21.9,-32.4,4362840,9.5,15.2,22.1,28.8,37.2
Yahya Black,DT,146,24,0.48,12.9,6.3,-32.4,4430947,2.6,4.3,6.2,8.4,10.6
T.J. Slaton Jr.,DT,147,29,0.47,12.9,6.0,-32.5,4240612,2.6,4.2,6.1,8.2,10.7
Darrell Jackson Jr.,DT,148,23,0.47,12.9,6.0,-32.5,4612836,6.1,6.1,6.1,6.1,6.1
Tyrus Wheat,DT,149,27,0.47,12.9,6.1,-32.5,4689333,2.7,4.4,6.1,8.1,10.5
Theo Jackson,S,64,28,3.5,13.6,47.6,-32.6,4242436,19.2,33.5,49.2,63.4,82.1
Jerry Tillery,DT,150,30,0.46,12.9,5.9,-32.6,3863182,2.6,4.3,6.1,8.0,10.6
Cameron Goode,DE,100,28,1.61,13.4,21.6,-32.8,4035857,9.5,14.9,21.7,28.8,37.4
Bralen Trice,DE,101,25,1.6,13.4,21.4,-33.0,4428713,21.4,21.4,21.4,21.4,21.4
Jayden Higgins,WR,58,24,8.78,12.4,108.5,-33.2,4877706,23.9,49.7,100.9,176.8,268.2
Aeneas Peebles,DT,151,25,0.42,12.9,5.4,-33.2,4565311,5.4,5.4,5.4,5.4,5.4
Jacob Martin,DE,103,31,1.57,13.4,21.0,-33.4,3138764,8.9,14.8,21.0,28.0,36.8
Jordan Burch,DE,104,25,1.57,13.4,21.0,-33.4,4428996,9.4,14.9,21.6,28.4,35.4
Jonah Williams,DT,153,31,0.4,12.9,5.1,-33.4,4032481,2.3,3.7,5.3,6.8,8.8
Darien Porter,CB,90,25,2.72,13.0,35.4,-33.5,4430330,13.9,24.9,36.7,47.5,60.8
Chris Williams,DT,155,28,0.39,12.9,5.1,-33.5,4034530,2.2,3.4,5.0,6.7,8.6
Khristian Boyd,DT,156,26,0.38,12.9,4.9,-33.7,4384595,4.9,4.9,4.9,4.9,4.9
Teddye Buchanan,LB,56,24,4.33,12.2,53.0,-33.8,4698244,14.3,28.8,50.2,75.1,106.7
Dante Fowler Jr.,DE,105,32,1.54,13.4,20.6,-33.8,2980100,9.1,14.2,20.8,27.9,36.5
Malcolm Koonce,DE,106,28,1.54,13.4,20.6,-33.8,4239719,8.6,14.2,20.9,27.7,34.8
Jordan van den Berg,DT,157,24,0.37,12.9,4.8,-33.8,4875381,4.8,4.8,4.8,4.8,4.8
Omar Speights,LB,57,25,4.32,12.2,52.9,-33.9,4428550,14.0,30.2,52.4,78.6,112.7
Jaylinn Hawkins,S,65,29,3.4,13.6,46.2,-34.0,3858276,20.7,34.1,48.1,61.9,80.5
AJ Barner,TE,27,24,7.0,12.8,89.5,-34.2,4576297,25.6,49.1,87.3,135.5,194.8
Rylie Mills,DT,159,25,0.34,12.9,4.4,-34.2,4430838,4.4,4.4,4.4,4.4,4.4
Rashid Shaheed,WR,59,28,8.67,12.4,107.1,-34.6,4032473,23.8,52.7,106.6,184.8,280.1
Cashius Howell,DE,107,23,1.48,13.4,19.8,-34.6,4710752,19.8,19.8,19.8,19.8,19.8
Azareye'h Thomas,CB,97,22,2.0,10.5,21.0,-34.6,4685596,5.2,11.8,20.8,29.2,38.3
Mike Morris,DT,161,25,0.31,12.9,4.0,-34.6,4572055,1.7,2.8,4.0,5.3,6.7
Barryn Sorrell,DE,108,24,1.47,13.4,19.6,-34.7,4683643,8.1,13.9,20.0,26.1,32.8
Leonard Taylor III,DT,162,24,0.29,12.9,3.8,-34.8,4431598,3.7,3.7,3.7,3.7,3.7
Rayshaun Benny,DT,163,24,0.29,12.9,3.7,-34.8,4432661,3.7,3.7,3.7,3.7,3.7
Princely Umanmielen,DE,109,24,1.45,13.4,19.4,-35.0,4429166,8.1,13.4,19.4,25.9,32.5
Anthony Nelson,DE,110,29,1.44,13.4,19.3,-35.1,3894856,8.4,13.1,19.0,24.8,31.1
Tyler Nubin,S,70,25,2.79,11.3,31.6,-35.1,4430261,9.8,19.3,32.3,45.7,59.8
Geno Stone,S,66,27,3.37,13.9,46.9,-35.2,4240575,27.6,39.2,49.5,59.9,67.4
Tyjae Spears,RB,42,25,9.37,11.2,104.5,-35.3,4428557,18.9,44.5,95.5,156.9,230.1
Malik Hooker,S,71,30,2.77,11.3,31.4,-35.4,3121415,9.8,19.2,31.9,44.2,59.1
Jacory Croskey-Merritt,RB,41,25,9.75,12.8,124.8,-35.5,4575131,34.0,66.0,120.0,178.3,260.6
Jerry Jeudy,WR,60,27,8.59,12.4,106.1,-35.6,4241463,22.4,50.1,101.1,171.9,258.0
Sam Roberts,DT,166,28,0.22,12.9,2.9,-35.7,4077786,2.8,2.8,2.8,2.8,2.8
D'Angelo Ponds,CB,91,21,2.55,13.0,33.3,-35.8,5118340,33.1,33.1,33.1,33.1,33.1
Derrick Moore,DE,112,24,1.38,13.4,18.4,-35.9,4685461,18.5,18.5,18.5,18.5,18.5
Dorian Williams,LB,58,25,4.15,12.2,50.8,-36.0,4568624,13.0,28.3,50.6,73.5,103.2
Sam Williams,DE,113,27,1.37,13.4,18.3,-36.0,4567242,7.8,12.6,18.3,24.1,30.6
Jahdae Barron,CB,92,25,2.51,13.0,32.8,-36.3,4430925,13.9,23.7,33.1,43.8,56.0
Mike Danna,DE,114,29,1.34,13.4,17.9,-36.4,3915487,7.6,12.8,18.1,23.7,30.3
Cam Lewis,S,68,29,3.22,13.6,43.8,-36.4,3916577,17.8,32.4,46.0,59.8,78.7
Tony Adams,S,74,27,2.67,11.3,30.2,-36.5,4240532,10.1,19.2,30.5,43.3,57.6
Chauncey Golston,DE,130,28,0.68,10.9,7.4,-36.8,4036132,1.9,4.5,7.5,10.8,14.1
Carson Beck,QB,33,25,8.82,7.2,63.5,-36.9,4430841,63.5,63.5,63.5,63.5,63.5
Sai'vion Jones,DT,168,23,0.12,12.9,1.6,-37.0,4603189,1.5,1.5,1.5,1.5,1.5
Nick Barrett,DT,169,23,0.12,12.9,1.6,-37.0,4682818,1.5,1.5,1.5,1.5,1.5
Cody Simon,LB,61,24,4.03,12.2,49.3,-37.5,4429071,13.2,27.6,48.2,72.3,102.8
Danny Striggow,DE,133,24,0.62,10.9,6.8,-37.5,4573319,1.7,4.0,6.7,9.6,12.6
Storm Duck,CB,93,26,2.41,13.0,31.5,-37.6,4427103,31.3,31.3,31.3,31.3,31.3
Justin Strnad,LB,62,30,4.01,12.2,49.1,-37.7,3919548,12.6,25.5,46.0,70.6,102.4
Michael Hoecht,DE,115,29,1.22,13.4,16.3,-38.1,4033234,16.3,16.3,16.3,16.3,16.3
Cam Taylor-Britt,CB,104,27,1.65,10.5,17.3,-38.3,4361196,4.1,9.4,16.9,25.0,33.4
Andrew Wingard,S,69,30,3.08,13.6,41.8,-38.4,3918331,17.4,30.1,42.7,57.1,73.8
Tyree Wilson,DE,116,26,1.19,13.4,15.9,-38.5,4372533,7.1,11.2,16.2,21.4,27.0
Kain Medrano,DE,136,25,0.52,10.9,5.7,-38.6,4427984,1.4,3.4,5.6,8.0,10.4
Rashod Bateman,WR,67,27,7.63,10.2,77.7,-39.1,4360939,13.7,33.2,73.6,140.0,217.0
Evan Engram,TE,28,32,6.57,12.8,84.1,-39.7,3051876,25.9,47.0,80.4,123.5,182.3
Desjuan Johnson,DE,117,27,1.09,13.4,14.5,-39.8,4362294,14.6,14.6,14.6,14.6,14.6
Max Melton,CB,106,24,1.51,10.5,15.8,-39.8,4698113,4.6,9.6,16.1,22.5,29.6
Oronde Gadsden,TE,30,23,6.55,12.8,83.8,-39.9,4595342,24.0,44.2,79.4,122.0,175.7
Keion White,DE,118,27,1.08,13.4,14.4,-39.9,4243493,6.8,10.5,14.9,19.5,24.9
Carrington Valentine,CB,95,25,2.22,13.0,29.0,-40.0,4430965,12.2,21.0,29.7,39.4,50.8
Jalen McMillan,WR,62,25,8.23,12.4,101.7,-40.1,4430834,102.1,102.1,102.1,102.1,102.1
Joshua Josephs,DE,119,0,1.06,13.4,14.1,-40.2,5081392,14.2,14.2,14.2,14.2,14.2
Jarrian Jones,CB,96,25,2.21,13.0,28.8,-40.2,4426448,11.8,20.2,28.7,38.2,48.8
Myles Bryant,CB,107,28,1.47,10.5,15.4,-40.2,4039010,3.6,8.3,15.1,21.7,27.9
Oluwafemi Oladejo,DE,120,23,1.05,13.4,14.1,-40.3,4876057,14.1,14.1,14.1,14.1,14.1
Keyron Crawford,DE,121,23,1.03,13.4,13.7,-40.6,4911904,13.8,13.8,13.8,13.8,13.8
Payton Turner,DE,122,27,1.02,13.4,13.7,-40.7,4240269,13.7,13.7,13.7,13.7,13.7
Cedric Johnson,DE,142,24,0.32,10.9,3.5,-40.8,4430065,0.9,2.0,3.4,4.9,6.6
Denzel Boston,WR,63,23,8.15,12.4,100.7,-41.0,4832800,101.1,101.1,101.1,101.1,101.1
Tre Tucker,WR,61,25,8.48,13.8,117.2,-41.1,4428718,40.8,75.3,114.0,154.4,191.4
Tyler Batty,DE,145,27,0.25,10.9,2.7,-41.5,4608794,0.7,1.6,2.7,3.8,5.0
Braiden McGregor,DE,147,25,0.22,10.9,2.4,-41.9,4429005,0.6,1.5,2.4,3.4,4.4
SirVocea Dennis,LB,59,26,4.08,13.9,56.8,-42.0,4429511,24.3,40.9,57.2,71.0,81.0
Bud Dupree,DE,123,33,0.92,13.4,12.3,-42.1,2576702,5.0,8.2,12.1,16.3,20.7
Bo Richter,DE,124,26,0.9,13.4,12.0,-42.3,4875564,4.9,8.2,12.0,16.1,20.3
TJ Parker,DE,125,22,0.88,13.4,11.7,-42.6,4870886,11.8,11.8,11.8,11.8,11.8
Isaiah Pola-Mao,S,72,27,2.76,13.6,37.6,-42.7,4259632,15.2,27.6,39.6,50.6,64.9
Cade Otton,TE,31,27,6.33,12.8,81.0,-42.8,4243331,23.6,42.8,77.1,122.0,185.4
Jahlani Tavai,LB,69,30,2.69,9.8,26.4,-43.2,3124587,5.9,13.4,24.6,38.6,55.3
Quincy Riley,CB,98,25,1.98,13.0,25.8,-43.2,4428350,9.9,18.1,26.5,35.0,44.3
Deane Leonard,CB,110,27,1.18,10.5,12.3,-43.3,4690171,3.2,7.1,12.3,17.5,23.3
RJ Mickens,S,82,25,2.05,11.3,23.2,-43.5,4429018,7.1,14.5,24.0,33.6,44.2
Darrell Baker Jr.,CB,99,28,1.95,13.0,25.4,-43.5,4036660,10.0,17.8,25.9,34.3,43.8
Kristian Fulton,CB,111,28,1.15,10.5,12.0,-43.6,4035433,2.8,6.6,11.8,17.3,22.7
Caleb Ransaw,S,73,24,2.69,13.6,36.6,-43.7,4683347,36.6,36.6,36.6,36.6,36.6
Josh Newton,CB,100,26,1.91,13.0,24.9,-44.1,4365319,10.2,17.6,25.3,33.2,42.5
Germie Bernard,WR,64,23,7.87,12.4,97.2,-44.5,4685261,97.6,97.6,97.6,97.6,97.6
Azeez Ojulari,DE,126,26,0.74,13.4,9.9,-44.5,4379409,9.9,9.9,9.9,9.9,9.9
Colton Hood,CB,101,21,1.87,13.0,24.3,-44.6,4921249,24.3,24.3,24.3,24.3,24.3
Adonai Mitchell,WR,65,24,7.85,12.4,97.0,-44.8,4597500,22.1,48.4,92.0,159.8,249.1
Isiah Pacheco,RB,46,27,7.94,9.8,77.8,-44.9,4361529,11.2,27.6,63.0,125.7,198.3
Dani Dennis-Sutton,DE,127,23,0.71,13.4,9.5,-44.9,4685315,9.5,9.5,9.5,9.5,9.5
Wesley Williams,DE,128,22,0.71,13.4,9.5,-44.9,4832922,9.5,9.5,9.5,9.5,9.5
AJ Epenesa,DE,129,28,0.7,13.4,9.4,-45.0,4240585,3.8,6.6,9.7,12.8,16.3
Nohl Williams,CB,102,24,1.81,13.0,23.6,-45.4,4610705,9.3,16.4,24.0,31.8,39.6
Michael Penix Jr.,QB,34,26,8.66,8.6,74.1,-45.5,4360423,10.7,27.0,61.6,120.1,162.0
Payton Wilson,LB,63,26,3.81,13.9,53.0,-45.7,4361652,22.4,37.9,54.6,66.8,76.9
David Ojabo,DE,131,26,0.64,13.4,8.6,-45.8,4426507,3.6,5.9,8.6,11.5,14.5
David Walker,DE,132,26,0.63,13.4,8.4,-46.0,5085355,8.4,8.4,8.4,8.4,8.4
Jalen Nailor,WR,66,27,7.71,12.4,95.3,-46.5,4382466,21.4,46.3,91.2,154.5,225.4
Quan Martin,S,75,26,2.47,13.6,33.6,-46.6,4360378,14.5,24.6,35.3,45.7,59.1
Michael Mayer,TE,32,25,4.98,10.0,49.7,-46.9,4429086,10.5,22.9,45.7,74.8,118.3
Jack Sawyer,DE,134,24,0.56,13.4,7.6,-46.9,4431590,3.4,5.3,7.6,10.0,12.6
Anfernee Jennings,DE,135,29,0.56,13.4,7.5,-46.9,3925350,3.4,5.3,7.6,10.2,13.1
Jonathan Jones,CB,123,33,0.83,10.5,8.7,-46.9,2971027,2.3,5.0,8.4,12.2,16.4
Avieon Terrell,CB,103,21,1.67,13.0,21.8,-47.2,4870988,21.7,21.7,21.7,21.7,21.7
Danny Stutsman,LB,64,23,3.22,12.2,39.4,-47.3,4683215,11.3,22.5,38.7,57.9,83.1
Jonathan Owens,S,76,31,2.42,13.6,32.9,-47.3,4331768,13.5,23.9,34.0,43.9,57.4
Pete Werner,LB,65,27,3.21,12.2,39.2,-47.5,4241993,11.0,22.5,39.7,58.1,80.7
Romello Height,DE,137,25,0.51,13.4,6.9,-47.6,4432244,6.8,6.8,6.8,6.8,6.8
Owen Pappoe,LB,66,26,3.18,12.2,38.9,-47.8,4567219,9.8,21.2,37.7,56.6,78.3
Corey Thornton,CB,128,25,0.75,10.5,7.9,-47.8,4431426,2.0,4.7,7.8,11.2,14.6
Michael Taaffe,S,77,23,2.37,13.6,32.2,-48.0,4880346,32.2,32.2,32.2,32.2,32.2
Marist Liufau,DE,138,25,0.47,13.4,6.3,-48.1,4427816,2.6,4.5,6.3,8.3,10.5
Dylan Horton,DE,139,26,0.47,13.4,6.2,-48.1,4374066,2.6,4.4,6.4,8.3,10.6
Chuck Clark,S,78,31,2.35,13.6,31.9,-48.3,3045463,13.5,23.9,33.9,43.4,55.8
Jaden Hicks,S,79,24,2.35,13.6,32.0,-48.3,4685232,13.0,23.5,33.0,42.2,54.2
Jermod McCoy,CB,105,21,1.55,13.0,20.2,-48.8,5157289,20.2,20.2,20.2,20.2,20.2
Ja'Tavion Sanders,TE,33,23,4.77,10.0,47.6,-49.0,4431588,9.3,21.1,42.1,73.4,110.8
Nate Hobbs,CB,133,27,0.59,10.5,6.2,-49.5,4240542,1.6,3.6,6.0,8.6,11.4
D'Angelo Ross,CB,134,30,0.59,10.5,6.2,-49.5,3139389,1.6,3.5,6.3,9.0,11.6
Thomas Incoom,DE,140,27,0.36,13.4,4.8,-49.6,4714157,2.1,3.4,4.9,6.5,8.5
Michael Carter II,CB,135,27,0.58,10.5,6.1,-49.6,4240456,1.6,3.7,6.2,8.8,11.2
Xavier Woods,S,89,31,1.49,11.3,16.9,-49.8,3040572,5.2,9.9,17.3,24.0,31.2
Arnold Ebiketie,DE,141,27,0.33,13.4,4.4,-50.0,4257591,2.0,3.0,4.5,5.9,7.5
Jason Pinnock,S,80,27,2.22,13.6,30.1,-50.0,4240706,12.9,21.9,31.5,40.8,52.5
Daniel Hardy,DE,143,28,0.31,13.4,4.2,-50.2,4365629,1.8,3.0,4.3,5.6,7.3
