nombre,pos,rank_pos,edad,pg,eg,total_v2,vbd2,espn_id,p10,p25,p50,p75,p90
Blake Grupe,K,24,28,8.87,14.7,130.3,-10.6,4259619,56.3,102.5,135.3,172.1,212.3
Myles Murphy,DE,43,24,3.27,13.4,43.8,-10.6,4428985,19.7,30.8,44.2,58.9,77.9
Kevin Byard,S,36,33,5.12,13.6,69.6,-10.6,2574056,30.2,51.4,73.3,93.5,120.4
Moro Ojomo,DT,63,25,2.17,12.9,28.1,-10.6,4362116,12.4,20.2,29.4,39.1,51.0
Patrick Queen,LB,30,27,6.33,13.9,88.2,-10.7,4242207,40.5,64.1,90.9,110.1,126.3
Dexter Lawrence II,DT,64,29,2.16,12.9,27.9,-10.7,4035483,11.4,19.7,28.8,37.8,47.9
Chuba Hubbard,RB,33,27,11.68,12.8,149.4,-10.8,4241416,38.4,76.6,143.6,218.8,303.8
Deebo Samuel Sr.,WR,47,30,10.68,13.8,147.6,-10.8,3126486,55.2,100.3,150.8,194.0,245.8
Jayden Reed,WR,50,26,10.59,12.4,130.9,-10.8,4362249,131.3,131.3,131.3,131.3,131.3
Grant Delpit,S,37,28,5.09,13.6,69.2,-11.0,4242208,30.5,50.7,71.3,94.5,126.8
Ji'Ayir Brown,S,38,26,5.09,13.6,69.2,-11.0,4693644,31.0,50.6,70.5,91.4,114.9
Josh Jobe,CB,43,28,4.45,13.0,58.1,-11.0,4372020,23.7,41.0,58.8,78.7,100.0
Justin Eboigbe,DT,66,25,2.14,12.9,27.6,-11.0,4567138,11.9,19.6,27.9,37.1,47.9
James Pearce Jr.,DE,44,23,3.23,13.4,43.2,-11.1,5081394,18.0,30.1,43.8,58.6,76.3
Brandon Dorlus,DT,67,25,2.13,12.9,27.6,-11.1,4427090,11.8,19.1,27.5,36.9,47.9
C.J. West,DT,68,24,2.13,12.9,27.6,-11.1,4686308,12.3,19.8,28.3,37.2,47.1
Jordan Addison,WR,48,24,10.65,13.8,147.2,-11.2,4429205,48.5,94.7,143.1,191.4,233.2
Pat Surtain II,CB,44,26,4.44,13.0,57.9,-11.2,4372012,24.4,39.7,58.2,76.3,98.4
Khalil Shakir,WR,49,26,10.64,13.8,147.0,-11.3,4373678,52.1,90.7,146.7,193.2,240.7
Jarran Reed,DT,76,34,1.93,10.7,20.6,-11.3,3115312,5.0,11.3,20.8,29.8,39.0
Kaden Elliss,LB,31,31,6.28,13.9,87.5,-11.4,3124890,39.4,63.8,87.5,108.4,123.6
Jermaine Johnson II,DE,45,27,3.21,13.4,43.0,-11.4,4567962,18.4,29.5,43.1,57.5,72.6
Jourdan Lewis,CB,54,31,4.2,10.5,44.0,-11.5,3045207,11.3,24.6,43.7,63.2,81.3
Christian Barmore,DT,69,27,2.1,12.9,27.1,-11.5,4372030,11.5,18.7,27.6,35.7,47.5
Giants D/ST,DST,25,,7.34,17.0,124.8,-11.6,-16019,124.8,124.8,124.8,124.8,124.8
Nolan Smith Jr.,DE,49,25,3.0,10.9,32.7,-11.6,4426331,9.6,19.7,32.8,47.7,61.8
Calais Campbell,DT,70,40,2.09,12.9,27.0,-11.6,11284,11.0,18.8,27.5,36.5,47.0
Kayvon Thibodeaux,DE,50,26,2.99,10.9,32.5,-11.7,4426326,7.6,19.4,32.6,46.0,60.9
Billy Bowman Jr.,CB,46,23,4.4,13.0,57.4,-11.7,4431194,57.2,57.2,57.2,57.2,57.2
Kerby Joseph,S,40,26,5.03,13.6,68.4,-11.8,4360383,68.4,68.4,68.4,68.4,68.4
Cam Bynum,S,41,28,5.02,13.6,68.2,-12.0,4035861,30.0,50.2,71.5,93.4,119.9
Javon Bullard,CB,47,24,4.37,13.0,57.0,-12.1,4688930,22.0,39.4,56.5,76.1,97.1
Jihaad Campbell,LB,37,22,6.1,12.2,74.6,-12.2,4685287,19.0,40.1,71.8,109.6,156.3
Dorance Armstrong,DE,46,29,3.14,13.4,42.0,-12.3,3928979,42.1,42.1,42.1,42.1,42.1
Braden Fiske,DT,71,26,2.04,12.9,26.3,-12.3,4362245,11.5,18.6,26.7,35.2,45.7
DJ Turner II,CB,48,26,4.34,13.0,56.6,-12.5,4572036,22.9,40.2,57.3,75.8,95.0
Dante Trader Jr.,S,42,23,4.97,13.6,67.5,-12.6,4431664,29.9,49.5,69.3,89.6,117.9
Rueben Bain Jr.,DE,47,22,3.11,13.4,41.5,-12.7,4870617,41.7,41.7,41.7,41.7,41.7
Cowboys D/ST,DST,26,,7.26,17.0,123.4,-12.9,-16006,123.4,123.4,123.4,123.4,123.4
Kevin Winston Jr.,S,45,23,4.75,11.3,53.9,-13.0,4685617,16.8,33.3,53.9,78.2,102.8
Sheldon Rankins,DT,72,32,1.98,12.9,25.5,-13.0,2970204,11.2,18.6,26.2,34.7,44.4
Javon Kinlaw,DT,73,29,1.98,12.9,25.5,-13.0,4259491,10.9,17.7,25.8,33.8,43.7
Upton Stout,CB,50,24,4.29,13.0,55.9,-13.1,4565200,22.8,39.5,56.0,74.1,93.5
Jacob Parrish,CB,51,22,4.29,13.0,55.9,-13.1,4912847,20.2,38.9,56.3,73.7,94.2
Eyioma Uwazurike,DT,74,28,1.97,12.9,25.5,-13.2,4066109,11.3,18.3,25.9,34.6,43.7
Tyler Davis,DT,75,26,1.96,12.9,25.3,-13.3,4568217,10.7,17.7,25.3,33.8,44.5
Montaric Brown,CB,52,27,4.27,13.0,55.6,-13.4,4242149,22.4,40.3,56.5,73.5,93.1
Dayo Odeyingbo,DE,56,27,2.82,10.9,30.6,-13.5,4242659,9.2,17.9,30.5,43.4,56.3
T.J. Sanders,DT,85,23,1.73,10.7,18.5,-13.5,4684527,4.2,10.6,18.5,26.6,34.7
Zaire Franklin,LB,35,30,6.12,13.9,85.3,-13.6,3124005,36.7,61.3,86.7,106.8,123.1
Demetrius Knight Jr.,LB,36,26,6.12,13.9,85.3,-13.6,4427729,37.7,61.6,86.2,105.8,121.4
Ty Okada,S,43,27,4.89,13.6,66.5,-13.7,4247808,26.8,47.8,69.0,90.5,115.2
Darius Robinson,DT,77,25,1.93,12.9,25.0,-13.7,4569480,10.4,17.4,25.1,33.8,43.3
DJ Wonnum,DE,48,29,3.03,13.4,40.5,-13.8,4038849,18.2,28.0,40.9,54.2,71.5
Shelby Harris,DT,78,35,1.92,12.9,24.8,-13.8,16837,10.5,17.4,24.9,33.2,43.1
Karl Brooks,DT,79,26,1.91,12.9,24.7,-13.9,4373423,10.1,17.2,25.0,32.8,42.1
