nombre,pos,rank_pos,proj,baseline,vbd,espn_id,equipo
Jihaad Campbell,LB,37,103.6,120.7,-17.1,4685287,21
Sheldon Rankins,DT,72,33.6,50.7,-17.1,2970204,34
Javon Kinlaw,DT,73,33.6,50.7,-17.1,4259491,28
DJ Wonnum,DE,48,51.5,68.7,-17.2,4038849,8
Eyioma Uwazurike,DT,74,33.5,50.7,-17.2,4066109,7
Terrel Bernard,LB,38,103.4,120.7,-17.3,4259166,2
Jacob Parrish,CB,49,72.9,90.2,-17.3,4912847,27
Upton Stout,CB,50,72.8,90.2,-17.4,4565200,25
Tyler Davis,DT,75,33.3,50.7,-17.4,4568217,14
Nolan Smith Jr.,DE,49,51.1,68.7,-17.6,4426331,21
Montaric Brown,CB,51,72.5,90.2,-17.7,4242149,30
Darius Robinson,DT,76,32.9,50.7,-17.8,4569480,22
Kayvon Thibodeaux,DE,50,50.8,68.7,-17.9,4426326,19
Dillon Thieneman,S,42,81.4,99.3,-17.9,4954445,3
Jarran Reed,DT,77,32.7,50.7,-18.0,3115312,26
Shelby Harris,DT,78,32.6,50.7,-18.1,16837,19
Karl Brooks,DT,79,32.5,50.7,-18.2,4373423,9
Kyle Monangai,RB,33,192.2,210.5,-18.3,4608686,3
Cam Hart,CB,52,71.8,90.2,-18.4,4427404,24
Kevin Winston Jr.,S,43,80.8,99.3,-18.5,4685617,10
Panthers D/ST,DST,29,117.6,136.3,-18.7,-16029,29
Andy Borregales,K,26,144.3,163.1,-18.8,4569923,17
Jourdan Lewis,CB,53,71.4,90.2,-18.8,3045207,30
Cardinals D/ST,DST,30,117.4,136.3,-18.9,-16022,22
Raiders D/ST,DST,31,117.2,136.3,-19.1,-16013,13
Will McDonald IV,DE,51,49.6,68.7,-19.1,4361767,20
Jevon Holland,S,44,80.1,99.3,-19.2,4373809,19
Charvarius Ward,CB,54,71.0,90.2,-19.2,4037361,11
Matt Gay,K,27,143.8,163.1,-19.3,4249087,13
Ryan Fitzgerald,K,28,143.7,163.1,-19.4,4568263,29
Jalyx Hunt,DE,52,49.3,68.7,-19.4,4571162,21
Isaiah Rodgers,CB,55,70.8,90.2,-19.4,4044540,16
Kenny Gainwell,RB,34,191.0,210.5,-19.5,4371733,27
Riley Moss,CB,56,70.7,90.2,-19.5,4382401,7
Marcus Harris,CB,57,70.7,90.2,-19.5,4570469,10
Quentin Johnston,WR,51,175.1,194.8,-19.7,4429025,24
Jake Moody,K,29,143.4,163.1,-19.7,4372066,28
Josh Sweat,DE,53,49.0,68.7,-19.7,3693166,22
Patrick Jones II,DE,54,49.0,68.7,-19.7,4036063,29
Jaylon Johnson,CB,58,70.3,90.2,-19.9,4243253,3
Darius Alexander,DT,80,30.8,50.7,-19.9,4426542,19
Chris Johnson,CB,59,70.2,90.2,-20.0,4869579,15
Alfred Collins,DT,81,30.7,50.7,-20.0,4430835,25
Andre Szmyt,K,30,142.7,163.1,-20.4,4258620,5
Kenneth Grant,DT,82,30.3,50.7,-20.4,4894654,15
Peter Woods,DT,83,30.2,50.7,-20.5,4871063,12
Alex Anzalone,LB,39,100.0,120.7,-20.7,3043107,27
Kamren Kinchens,S,45,78.6,99.3,-20.7,4596363,14
Khyiris Tonga,DT,84,30.0,50.7,-20.7,4256074,12
J.K. Dobbins,RB,35,189.7,210.5,-20.8,4241985,7
Rashan Gary,DE,55,47.9,68.7,-20.8,4046523,6
Dayo Odeyingbo,DE,56,47.9,68.7,-20.8,4242659,3
Reed Blankenship,S,46,78.5,99.3,-20.8,4243956,34
Pat Freiermuth,TE,21,143.5,164.4,-20.9,4361411,23
Drue Tranquill,LB,40,99.6,120.7,-21.1,3129310,12
Deommodore Lenoir,CB,60,69.1,90.2,-21.1,4242488,25
Cor'Dale Flott,CB,61,69.0,90.2,-21.2,4429607,10
T.J. Sanders,DT,85,29.5,50.7,-21.2,4684527,2
Stefon Diggs,WR,52,173.5,194.8,-21.3,2976212,28
Terrance Ferguson,TE,22,143.1,164.4,-21.3,4570037,14
Dre'Mont Jones,DE,57,47.3,68.7,-21.4,3915525,17
Joey Slye,K,31,141.6,163.1,-21.5,3124084,10
Calen Bullock,S,47,77.6,99.3,-21.7,4431517,34
Dalvin Tomlinson,DT,86,29.0,50.7,-21.7,2979860,24
Jonathan Bullard,DT,87,29.0,50.7,-21.7,2980097,6
James Pierre,CB,62,68.4,90.2,-21.8,4259252,16
Jadeveon Clowney,DE,58,46.8,68.7,-21.9,16734,34
KC Concepcion,WR,53,172.5,194.8,-22.3,4870653,5
Devin Lloyd,LB,41,98.4,120.7,-22.3,4243256,29
Uchenna Nwosu,DE,59,46.4,68.7,-22.3,3120358,26
Brian Branch,S,48,77.0,99.3,-22.3,4692025,8
Malaki Starks,S,49,76.7,99.3,-22.6,4685530,33
Julian Blackmon,S,50,76.7,99.3,-22.6,4035661,18
DJ Reader,DT,88,27.5,50.7,-23.2,2977670,19
Derek Stingley Jr.,CB,63,66.9,90.2,-23.3,4426434,34
Rock Ya-Sin,CB,64,66.9,90.2,-23.3,3910229,8
Malachi Lawrence,DE,60,45.3,68.7,-23.4,4710067,6
Ja'Quan McMillian,CB,65,66.8,90.2,-23.4,4567462,7
Dee Alford,CB,66,66.7,90.2,-23.5,4401823,2
Andrew Mukuba,S,51,75.7,99.3,-23.6,4602197,21
Jonas Sanker,S,52,75.7,99.3,-23.6,4683813,18
Akeem Davis-Gaither,LB,42,97.0,120.7,-23.7,3917142,11
Tyleik Williams,DT,89,27.0,50.7,-23.7,4431615,8
Kerby Joseph,S,53,75.5,99.3,-23.8,4360383,8
Adetomiwa Adebawore,DT,90,26.9,50.7,-23.8,4427635,11
Mike Green,DE,61,44.8,68.7,-23.9,4683188,33
Cory Durden,DT,91,26.8,50.7,-23.9,4240042,17
Logan Hall,DT,92,26.8,50.7,-23.9,4360189,34
Dre Greenlaw,LB,43,96.5,120.7,-24.2,3916903,25
Ruke Orhorhoro,DT,93,26.5,50.7,-24.2,4430271,30
Christian Benford,CB,67,65.9,90.2,-24.3,4379778,2
Warren Brinson,DT,94,26.4,50.7,-24.3,4429136,9
Dalton Schultz,TE,23,140.0,164.4,-24.4,3117256,34
Derick Hall,DE,62,44.3,68.7,-24.4,4567226,26
Solomon Thomas,DT,95,26.3,50.7,-24.4,3117258,10
Nahshon Wright,CB,68,65.7,90.2,-24.5,4570470,20
Antonio Johnson,S,54,74.7,99.3,-24.6,4429168,30
Chad Ryland,K,32,138.4,163.1,-24.7,4363538,22
Romeo Doubs,WR,54,169.7,194.8,-25.1,4361432,17
Mykel Williams,DE,63,43.6,68.7,-25.1,4685623,25
Kayden McDonald,DT,96,25.6,50.7,-25.1,4870893,34
Rachaad White,RB,36,185.3,210.5,-25.2,4697815,28
Jordan Elliott,DT,97,25.4,50.7,-25.3,4039052,10
Dante Stills,DT,98,25.2,50.7,-25.5,4362225,22
Da'Shawn Hand,DT,99,25.1,50.7,-25.6,3126352,1
Akheem Mesidor,DE,64,42.9,68.7,-25.8,4429190,24
John Franklin-Myers,DE,65,42.9,68.7,-25.8,3120464,10
Treydan Stukes,S,55,73.5,99.3,-25.8,4697757,13
Sebastian Joseph-Day,DT,100,24.9,50.7,-25.8,3047495,23
Otito Ogbonnia,DT,101,24.9,50.7,-25.8,4367210,6
Jordan Phillips,DT,102,24.8,50.7,-25.9,4837188,15
John Jenkins,DT,103,24.6,50.7,-26.1,15846,33
Dolphins D/ST,DST,32,109.9,136.3,-26.4,-16015,15
Lee Hunter,DT,104,24.3,50.7,-26.4,4431551,29
Ashton Gillotte,DE,66,41.8,68.7,-26.9,4684432,12
Joseph Ossai,DE,67,41.7,68.7,-27.0,4362094,20
Eric Stokes,CB,69,63.1,90.2,-27.1,4259561,13
Arden Key,DE,68,41.5,68.7,-27.2,3843843,11
DeWayne Carter,DT,105,23.2,50.7,-27.5,4426883,2
Henry To'oTo'o,LB,44,93.1,120.7,-27.6,4426350,34
Denzel Ward,CB,70,62.6,90.2,-27.6,3915535,5
Chris Godwin Jr.,WR,55,167.1,194.8,-27.7,3116165,27
Gracen Halton,DT,106,23.0,50.7,-27.7,4685369,25
Andre Cisco,S,56,71.5,99.3,-27.8,4361939,20
Maason Smith,DT,107,22.8,50.7,-27.9,4431567,1
Dennis Gardeck,DE,69,40.7,68.7,-28.0,4334300,30
Samson Ebukam,DE,70,40.6,68.7,-28.1,3045527,1
K'Lavon Chaisson,DE,71,40.3,68.7,-28.4,4242205,28
C.J. Gardner-Johnson,S,57,70.5,99.3,-28.8,4034953,2
Riq Woolen,CB,71,61.4,90.2,-28.8,4245185,21
John Ridgeway III,DT,108,21.9,50.7,-28.8,4248047,18
Jowon Briggs,DT,109,21.8,50.7,-28.9,4426676,20
Domonique Orange,DT,110,21.5,50.7,-29.2,4698728,16
Nick Herbig,DE,72,39.3,68.7,-29.4,4429164,23
Brenton Cox Jr.,DE,73,39.3,68.7,-29.4,4361776,9
Eric Wilson,LB,45,91.2,120.7,-29.5,3056916,16
Jaycee Horn,CB,72,60.7,90.2,-29.5,4362847,29
Cobie Durant,CB,73,60.6,90.2,-29.6,4384549,6
Chau Smith-Wade,CB,74,60.6,90.2,-29.6,4697636,29
R Mason Thomas,DE,74,38.9,68.7,-29.8,5081927,12
JuJu Brents,CB,75,60.4,90.2,-29.8,4360488,15
Leki Fotu,DT,111,20.7,50.7,-30.0,4035666,19
Neville Gallimore,DT,112,20.1,50.7,-30.6,3892883,3
Mekhi Wingo,DT,113,20.0,50.7,-30.7,4586333,8
Kwity Paye,DE,75,37.7,68.7,-31.0,4258194,13
Martin Emerson Jr.,CB,76,59.2,90.2,-31.0,4429568,18
Frankie Luvu,LB,46,89.6,120.7,-31.1,3127273,28
Baron Browning,DE,76,37.6,68.7,-31.1,4241987,22
Will Harris,S,58,68.1,99.3,-31.2,3915297,28
Vernon Broughton,DT,114,19.5,50.7,-31.2,4429040,18
Trevin Wallace,LB,47,89.4,120.7,-31.3,4683815,29
Keldric Faulk,DE,77,37.4,68.7,-31.3,4870707,10
Roger McCreary,CB,77,58.7,90.2,-31.5,4371973,8
Jason Marshall Jr.,CB,78,58.4,90.2,-31.8,4432730,15
Felix Anudike-Uzomah,DE,78,36.8,68.7,-31.9,4612387,12
L'Jarius Sneed,CB,79,58.3,90.2,-31.9,4040432,12
Gunnar Helm,TE,24,132.3,164.4,-32.1,4686728,10
Isaiah McGuire,DE,79,36.5,68.7,-32.2,4427963,5
Colby Wooden,DT,115,18.5,50.7,-32.2,4567224,11
Zaven Collins,DE,80,36.4,68.7,-32.3,4244606,22
RJ Harvey,RB,37,177.9,210.5,-32.6,4568490,7
Eric Gregory,DT,116,18.1,50.7,-32.6,4567171,17
Zeek Biggers,DT,117,17.9,50.7,-32.8,4683276,15
Billy Bowman Jr.,CB,80,57.3,90.2,-32.9,4431194,1
Christian Harris,LB,48,87.7,120.7,-33.0,4567099,1
A.J. Haulcy,S,59,66.2,99.3,-33.1,4905664,11
Josh Uche,DE,81,35.5,68.7,-33.2,4046528,15
Landon Jackson,DT,118,17.5,50.7,-33.2,4432715,2
Chidobe Awuzie,CB,81,56.8,90.2,-33.4,3052101,33
Elijah Ponder,DE,82,35.2,68.7,-33.5,4688432,17
Clelin Ferrell,DE,83,35.2,68.7,-33.5,3728258,15
Jonathon Brooks,RB,38,176.9,210.5,-33.6,4678008,29
Kalia Davis,DT,119,17.1,50.7,-33.6,4243541,5
Cam Jackson,DT,120,17.1,50.7,-33.6,4687513,29
Zion Young,DE,84,34.4,68.7,-34.3,4839501,33
Cody Barton,LB,49,85.9,120.7,-34.8,3926229,10
Trevis Gipson,DE,85,33.9,68.7,-34.8,3917016,29
Byron Young,DT,121,15.7,50.7,-35.0,4567123,21
Tim Settle,DT,122,15.3,50.7,-35.4,3929956,28
Cameron Jordan,DE,86,33.1,68.7,-35.6,13971,18
Matthew Butler,DT,123,15.0,50.7,-35.7,4242457,15
Skyler Gill-Howard,DT,124,14.7,50.7,-36.0,5103940,8
Chig Okonkwo,TE,25,128.3,164.4,-36.1,4360635,28
Shemar Turner,DT,125,14.6,50.7,-36.1,4432804,3
Elijah Roberts,DT,126,14.5,50.7,-36.2,4690795,27
Isaiahh Loudermilk,DT,127,14.5,50.7,-36.2,4035798,16
Sam Okuayinonu,DE,87,32.4,68.7,-36.3,4569497,25
Omarr Norman-Lott,DT,128,14.4,50.7,-36.3,4591008,12
Albert Regis,DT,129,14.4,50.7,-36.3,4612298,30
Shemar Stewart,DE,88,32.3,68.7,-36.4,4685562,4
Mike Hall Jr.,DT,130,14.3,50.7,-36.4,4600415,5
Kader Kohou,CB,82,53.7,90.2,-36.5,4291489,12
Tyler Onyedim,DT,131,14.1,50.7,-36.6,4683535,7
CJ Allen,LB,50,84.0,120.7,-36.7,4870598,11
L.J. Collier,DT,132,13.8,50.7,-36.9,3116449,22
Elijah Molden,S,60,62.3,99.3,-37.0,4243328,24
Greg Newsome II,CB,83,53.2,90.2,-37.0,4361266,19
Blake Corum,RB,39,173.4,210.5,-37.1,4429096,14
Jalen Coker,WR,56,157.7,194.8,-37.1,4695883,29
Tyrion Ingram-Dawkins,DE,89,31.5,68.7,-37.2,4629149,16
Trey Amos,CB,84,53.0,90.2,-37.2,4574689,28
Al-Quadin Muhammad,DE,90,31.4,68.7,-37.3,3051942,27
Josaiah Stewart,DE,91,31.2,68.7,-37.5,4682983,14
Deatrich Wise Jr.,DT,133,13.0,50.7,-37.7,2980080,28
Drake Thomas,LB,51,82.9,120.7,-37.8,4428659,26
Lonnie Johnson Jr.,S,61,61.3,99.3,-38.0,4240780,15
Bobby Jamison-Travis,DT,134,12.6,50.7,-38.1,5159928,19
Greg Dulcich,TE,26,126.2,164.4,-38.2,4367209,15
Jonah Elliss,DE,92,30.5,68.7,-38.2,4687592,7
Denzel Burke,CB,85,51.8,90.2,-38.4,4432668,22
Cameron Thomas,DE,93,30.2,68.7,-38.5,4361510,1
Dee Winters,LB,52,81.9,120.7,-38.8,4428914,6
Jer'Zhan Newton,DT,135,11.9,50.7,-38.8,4430560,28
Joshua Farmer,DT,136,11.8,50.7,-38.9,4611993,17
Matt Dickerson,DT,137,11.7,50.7,-39.0,3134316,30
Jaylahn Tuimoloau,DE,94,29.6,68.7,-39.1,4566154,11
Coby Bryant,S,62,60.2,99.3,-39.1,4239094,3
Donte Jackson,CB,86,51.1,90.2,-39.1,3843769,24
Levi Onwuzurike,DT,138,11.6,50.7,-39.1,4039020,8
Ty Hamilton,DT,139,11.4,50.7,-39.3,4431118,14
Christian Elliss,LB,53,81.3,120.7,-39.4,4245273,17
Marcus Epps,S,63,59.9,99.3,-39.4,3139368,21
Dondrea Tillman,DE,95,29.0,68.7,-39.7,5216101,7
Ventrell Miller,LB,54,80.9,120.7,-39.8,4240610,30
Theo Jackson,S,64,59.5,99.3,-39.8,4242436,16
Benito Jones,DT,140,10.9,50.7,-39.8,4035299,13
Tavius Robinson,DE,96,28.8,68.7,-39.9,4690179,33
Micheal Clemons,DE,97,28.6,68.7,-40.1,4240896,11
Jackie Marshall,DT,141,10.5,50.7,-40.2,5081785,10
Derrick Barnes,LB,55,80.4,120.7,-40.3,4260409,8
Gabe Jacas,DE,98,28.3,68.7,-40.4,4837244,17
Myles Harden,CB,87,49.8,90.2,-40.4,4695783,5
Kris Jenkins Jr.,DT,142,10.2,50.7,-40.5,4432301,4
Chris McClellan,DT,143,10.0,50.7,-40.7,4820574,9
Kingsley Enagbare,DE,99,27.8,68.7,-40.9,4362840,20
Cameron Goode,DE,100,27.4,68.7,-41.3,4035857,15
Bralen Trice,DE,101,27.2,68.7,-41.5,4428713,1
Jaylinn Hawkins,S,65,57.8,99.3,-41.5,3858276,33
Mekhi Blackmon,CB,88,48.7,90.2,-41.5,4360677,11
BJ Ojulari,DE,102,27.1,68.7,-41.6,4429111,22
PJ Mustipher,DT,144,9.1,50.7,-41.6,4361421,0
Calvin Ridley,WR,57,153.0,194.8,-41.8,3925357,10
Tonka Hemingway,DT,145,8.9,50.7,-41.8,4429109,13
Jacob Martin,DE,103,26.7,68.7,-42.0,3138764,10
Jordan Burch,DE,104,26.7,68.7,-42.0,4428996,22
Geno Stone,S,66,57.3,99.3,-42.0,4240575,2
Dante Fowler Jr.,DE,105,26.2,68.7,-42.5,2980100,26
Malcolm Koonce,DE,106,26.2,68.7,-42.5,4239719,13
Tony Jefferson,S,67,56.8,99.3,-42.5,16195,24
Yahya Black,DT,146,8.2,50.7,-42.5,4430947,23
Tyrus Wheat,DT,147,8.0,50.7,-42.7,4689333,6
T.J. Slaton Jr.,DT,148,7.9,50.7,-42.8,4240612,4
Darrell Jackson Jr.,DT,149,7.9,50.7,-42.8,4612836,20
Jerry Tillery,DT,150,7.7,50.7,-43.0,3863182,11
Cashius Howell,DE,107,25.1,68.7,-43.6,4710752,4
Aeneas Peebles,DT,151,7.1,50.7,-43.6,4565311,33
Barryn Sorrell,DE,108,24.9,68.7,-43.8,4683643,9
Adin Huntington,DT,152,6.8,50.7,-43.9,4605792,5
Jonah Williams,DT,153,6.8,50.7,-43.9,4032481,22
Darien Porter,CB,89,46.2,90.2,-44.0,4430330,13
Chris Williams,DT,154,6.7,50.7,-44.0,4034530,1
Princely Umanmielen,DE,109,24.6,68.7,-44.1,4429166,29
Brandon Pili,DT,155,6.6,50.7,-44.1,4259651,26
Anthony Nelson,DE,110,24.5,68.7,-44.2,3894856,27
Khristian Boyd,DT,156,6.5,50.7,-44.2,4384595,18
Jordan van den Berg,DT,157,6.4,50.7,-44.3,4875381,3
Cam Lewis,S,68,54.8,99.3,-44.5,3916577,3
Rakeem Nunez-Roches,DT,158,6.0,50.7,-44.7,2575453,27
Jacory Croskey-Merritt,RB,40,165.7,210.5,-44.8,4575131,28
Garrett Williams,CB,90,45.3,90.2,-44.9,4568506,22
Rylie Mills,DT,159,5.7,50.7,-45.0,4430838,26
Dominique Robinson,DE,111,23.6,68.7,-45.1,4244300,34
LaBryan Ray,DT,160,5.5,50.7,-45.2,4241473,29
Derrick Moore,DE,112,23.4,68.7,-45.3,4685461,8
Sam Williams,DE,113,23.3,68.7,-45.4,4567242,6
AJ Barner,TE,27,118.9,164.4,-45.5,4576297,26
Mike Morris,DT,161,5.2,50.7,-45.5,4572055,26
Jayden Higgins,WR,58,149.2,194.8,-45.6,4877706,34
Leonard Taylor III,DT,162,5.0,50.7,-45.7,4431598,17
Rayshaun Benny,DT,163,4.9,50.7,-45.8,4432661,33
Mike Danna,DE,114,22.8,68.7,-45.9,3915487,2
Mazi Smith,DT,164,4.0,50.7,-46.7,4426347,20
D'Angelo Ponds,CB,91,43.4,90.2,-46.8,5118340,20
Naquan Jones,DT,165,3.8,50.7,-46.9,4046716,34
Teddye Buchanan,LB,56,73.7,120.7,-47.0,4698244,33
Andrew Wingard,S,69,52.3,99.3,-47.0,3918331,22
Sam Roberts,DT,166,3.7,50.7,-47.0,4077786,0
Omar Speights,LB,57,73.5,120.7,-47.2,4428550,14
Rashid Shaheed,WR,59,147.4,194.8,-47.4,4032473,26
Jahdae Barron,CB,92,42.7,90.2,-47.5,4430925,7
Michael Hoecht,DE,115,20.7,68.7,-48.0,4033234,2
Ty Robinson,DT,167,2.6,50.7,-48.1,4569586,21
Tyree Wilson,DE,116,20.3,68.7,-48.4,4372533,18
Sai'vion Jones,DT,168,2.1,50.7,-48.6,4603189,7
Nick Barrett,DT,169,2.1,50.7,-48.6,4682818,24
Jerry Jeudy,WR,60,146.0,194.8,-48.8,4241463,5
Storm Duck,CB,93,41.0,90.2,-49.2,4427103,15
Dorian Williams,LB,58,70.6,120.7,-50.1,4568624,2
Desjuan Johnson,DE,117,18.5,68.7,-50.2,4362294,14
Shavon Revel Jr.,CB,94,40.0,90.2,-50.2,5095865,6
Keion White,DE,118,18.3,68.7,-50.4,4243493,25
Tre Tucker,WR,61,144.2,194.8,-50.6,4428718,13
Joshua Josephs,DE,119,17.9,68.7,-50.8,5081392,28
Oluwafemi Oladejo,DE,120,17.9,68.7,-50.8,4876057,10
Tyjae Spears,RB,41,159.3,210.5,-51.2,4428557,10
Keyron Crawford,DE,121,17.5,68.7,-51.2,4911904,13
Payton Turner,DE,122,17.4,68.7,-51.3,4240269,8
SirVocea Dennis,LB,59,69.3,120.7,-51.4,4429511,27
Tyler Nubin,S,70,47.4,99.3,-51.9,4430261,19
Denzel Perryman,LB,60,68.6,120.7,-52.1,2579621,24
Cody Simon,LB,61,68.5,120.7,-52.2,4429071,22
Malik Hooker,S,71,47.1,99.3,-52.2,3121415,6
Isaiah Pola-Mao,S,72,47.0,99.3,-52.3,4259632,13
Carrington Valentine,CB,95,37.8,90.2,-52.4,4430965,9
Justin Strnad,LB,62,68.2,120.7,-52.5,3919548,7
Evan Engram,TE,28,111.8,164.4,-52.6,3051876,7
Mike Gesicki,TE,29,111.8,164.4,-52.6,3116164,4
Jarrian Jones,CB,96,37.6,90.2,-52.6,4426448,30
Bud Dupree,DE,123,15.7,68.7,-53.0,2576702,24
Oronde Gadsden,TE,30,111.3,164.4,-53.1,4595342,24
Bo Richter,DE,124,15.3,68.7,-53.4,4875564,16
Caleb Ransaw,S,73,45.8,99.3,-53.5,4683347,30
TJ Parker,DE,125,14.9,68.7,-53.8,4870886,2
Tony Adams,S,74,45.4,99.3,-53.9,4240532,10
Jalen McMillan,WR,62,140.0,194.8,-54.8,4430834,27
Payton Wilson,LB,63,64.7,120.7,-56.0,4361652,23
Azeez Ojulari,DE,126,12.6,68.7,-56.1,4379409,1
Azareye'h Thomas,CB,97,34.1,90.2,-56.1,4685596,20
Denzel Boston,WR,63,138.5,194.8,-56.3,4832800,5
Dani Dennis-Sutton,DE,127,12.1,68.7,-56.6,4685315,9
Quincy Riley,CB,98,33.6,90.2,-56.6,4428350,18
AJ Epenesa,DE,128,12.0,68.7,-56.7,4240585,21
Wesley Williams,DE,129,12.0,68.7,-56.7,4832922,30
Cade Otton,TE,31,107.6,164.4,-56.8,4243331,27
Chauncey Golston,DE,130,11.6,68.7,-57.1,4036132,19
Darrell Baker Jr.,CB,99,33.1,90.2,-57.1,4036660,15
Quan Martin,S,75,42.0,99.3,-57.3,4360378,28
Josh Newton,CB,100,32.5,90.2,-57.7,4365319,4
David Ojabo,DE,131,10.9,68.7,-57.8,4426507,15
David Walker,DE,132,10.7,68.7,-58.0,5085355,27
Danny Striggow,DE,133,10.6,68.7,-58.1,4573319,30
Jonathan Owens,S,76,41.1,99.3,-58.2,4331768,11
Colton Hood,CB,101,31.7,90.2,-58.5,4921249,19
Michael Taaffe,S,77,40.3,99.3,-59.0,4880346,15
Jack Sawyer,DE,134,9.6,68.7,-59.1,4431590,23
Anfernee Jennings,DE,135,9.5,68.7,-59.2,3925350,18
Jaden Hicks,S,78,40.0,99.3,-59.3,4685232,12
Chuck Clark,S,79,39.9,99.3,-59.4,3045463,8
Nohl Williams,CB,102,30.8,90.2,-59.4,4610705,12
Kain Medrano,DE,136,8.9,68.7,-59.8,4427984,28
Romello Height,DE,137,8.7,68.7,-60.0,4432244,25
Marist Liufau,DE,138,8.0,68.7,-60.7,4427816,6
Dylan Horton,DE,139,7.9,68.7,-60.8,4374066,34
Germie Bernard,WR,64,133.7,194.8,-61.1,4685261,23
Adonai Mitchell,WR,65,133.4,194.8,-61.4,4597500,20
Jason Pinnock,S,80,37.7,99.3,-61.6,4240706,19
Avieon Terrell,CB,103,28.5,90.2,-61.7,4870988,1
Thomas Incoom,DE,140,6.2,68.7,-62.5,4714157,29
Arnold Ebiketie,DE,141,5.6,68.7,-63.1,4257591,21
Malachi Moore,S,81,36.1,99.3,-63.2,4692024,20
Daniel Hardy,DE,142,5.4,68.7,-63.3,4365629,3
Cedric Johnson,DE,143,5.4,68.7,-63.3,4430065,4
George Gumbs Jr.,DE,144,5.1,68.7,-63.6,4708238,11
Jalen Nailor,WR,66,131.1,194.8,-63.7,4382466,13
Cam Taylor-Britt,CB,104,26.4,90.2,-63.8,4361196,11
Jermod McCoy,CB,105,26.3,90.2,-63.9,5157289,13
Jared Ivey,DE,145,4.3,68.7,-64.4,4605478,26
Tyler Batty,DE,146,4.2,68.7,-64.5,4608794,16
RJ Mickens,S,82,34.8,99.3,-64.5,4429018,24
Max Melton,CB,106,25.6,90.2,-64.6,4698113,22
Braiden McGregor,DE,147,3.8,68.7,-64.9,4429005,20
Rashod Bateman,WR,67,129.6,194.8,-65.2,4360939,33
Myles Bryant,CB,107,25.0,90.2,-65.2,4039010,5
Zach Charbonnet,RB,42,144.9,210.5,-65.6,4426385,26
Sean Murphy-Bunting,CB,108,24.5,90.2,-65.7,3932886,22
Danny Stutsman,LB,64,54.7,120.7,-66.0,4683215,18
Bradyn Swinson,DE,148,2.6,68.7,-66.1,4431424,17
Pete Werner,LB,65,54.5,120.7,-66.2,4241993,18
Keir Thomas II,DE,149,2.5,68.7,-66.2,4038843,14
Jaylen McCollough,S,83,33.0,99.3,-66.3,4427120,14
Tacario Davis,CB,109,23.8,90.2,-66.4,4726127,4
Owen Pappoe,LB,66,54.1,120.7,-66.6,4567219,22
LT Overton,DE,150,1.8,68.7,-66.9,4870960,6
Ar'Darius Washington,S,84,32.3,99.3,-67.0,4362492,19
Jordan Mason,RB,43,142.2,210.5,-68.3,4360569,16
Austin Ajiake,LB,67,50.6,120.7,-70.1,4374171,11
Deane Leonard,CB,110,20.0,90.2,-70.2,4690171,24
Lathan Ransom,S,85,28.6,99.3,-70.7,4429110,29
Kristian Fulton,CB,111,19.5,90.2,-70.7,4035433,12
Davison Igbinosun,CB,112,19.3,90.2,-70.9,4832035,2
Justin Walley,CB,113,19.3,90.2,-70.9,4682909,11
Amik Robertson,CB,114,18.7,90.2,-71.5,4239694,28
Jalen Davis,CB,115,18.2,90.2,-72.0,3125356,4
Asante Samuel Jr.,CB,116,18.0,90.2,-72.2,4363034,23
Woody Marks,RB,44,137.9,210.5,-72.6,4429059,34
Jay Ward,S,86,26.7,99.3,-72.6,4568007,16
Ennis Rakestraw Jr.,CB,117,17.1,90.2,-73.1,4566092,8
K.J. Britt,LB,68,47.4,120.7,-73.3,4242521,17
Benjamin St-Juste,CB,118,16.8,90.2,-73.4,4258206,9
Malik Muhammad,CB,119,16.6,90.2,-73.6,4870953,3
Kitan Oladapo,S,87,25.5,99.3,-73.8,4374037,9
Xavier Woods,S,88,25.4,99.3,-73.9,3040572,3
Alvin Kamara,RB,45,136.4,210.5,-74.1,3054850,18
Jauan Jennings,WR,68,120.0,194.8,-74.8,3886598,16
Zayne Anderson,S,89,24.4,99.3,-74.9,3932335,15
Jahlani Tavai,LB,69,45.7,120.7,-75.0,3124587,30
Noah Igbinoghene,CB,120,14.7,90.2,-75.5,4242516,26
Isiah Pacheco,RB,46,134.9,210.5,-75.6,4361529,8
Dell Pettus,S,90,23.6,99.3,-75.7,4428232,17
Jaylin Smith,CB,121,14.4,90.2,-75.8,4594277,34
Bud Clark,S,91,23.3,99.3,-76.0,4430262,26
Jonathan Jones,CB,122,14.2,90.2,-76.0,2971027,21
Emmanuel Forbes Jr.,CB,123,14.2,90.2,-76.0,4429767,14
Xavier Legette,WR,69,118.4,194.8,-76.4,4430034,29
Keith Abney II,CB,124,13.8,90.2,-76.4,5093004,8
Brandon Cisse,CB,125,13.5,90.2,-76.7,5076652,9
Jaylon Jones,CB,126,13.1,90.2,-77.1,4047655,3
Corey Thornton,CB,127,12.8,90.2,-77.4,4431426,29
Devin White,LB,70,43.2,120.7,-77.5,4035434,8
Derion Kendrick,CB,128,12.5,90.2,-77.7,4360307,6
De'Zhaun Stribling,WR,70,116.3,194.8,-78.5,4710714,25
Percy Butler,CB,129,11.3,90.2,-78.9,4363097,28
DJ Ivey,CB,130,10.8,90.2,-79.4,4362502,4
Joshua Williams,CB,131,10.5,90.2,-79.7,4917635,10
