nombre,pos,rank_pos,proj,baseline,vbd,espn_id,equipo
DJ Moore,WR,27,223.8,194.8,29.0,3915416,2
Broncos D/ST,DST,3,164.9,136.3,28.6,-16007,7
Cameron Dicker,K,2,190.6,163.1,27.5,4362081,24
Maxx Crosby,DE,1,95.5,68.7,26.8,3916655,13
Nick Emmanwori,CB,1,116.4,90.2,26.2,4869523,26
Luther Burden III,WR,28,219.4,194.8,24.6,4685278,3
Ka'imi Fairbairn,K,3,187.6,163.1,24.5,2971573,34
George Kittle,TE,8,188.3,164.4,23.9,3040151,25
Fred Warner,LB,3,144.5,120.7,23.8,3138826,25
Alec Pierce,WR,29,218.4,194.8,23.6,4360078,11
Seahawks D/ST,DST,4,159.7,136.3,23.4,-16026,26
Ravens D/ST,DST,5,159.4,136.3,23.1,-16033,33
Travis Kelce,TE,9,186.9,164.4,22.5,15847,12
Courtland Sutton,WR,30,216.9,194.8,22.1,3128429,7
Dallas Goedert,TE,10,186.4,164.4,22.0,3121023,21
Kamari Lassiter,CB,2,112.2,90.2,22.0,4602699,34
Quentin Lake,CB,3,112.2,90.2,22.0,4249128,14
Rams D/ST,DST,6,158.2,136.3,21.9,-16014,14
Jason Myers,K,4,184.6,163.1,21.5,2473037,26
D'Andre Swift,RB,21,231.6,210.5,21.1,4259545,3
Jack Campbell,LB,4,141.3,120.7,20.6,4569465,8
Nick Bolton,LB,5,140.6,120.7,19.9,4362759,12
Jacoby Brissett,QB,29,257.0,237.2,19.8,2578570,22
Andrew Van Ginkel,DE,2,88.3,68.7,19.6,3133487,16
Harrison Mevis,K,5,182.4,163.1,19.3,4574716,14
DeForest Buckner,DT,2,69.8,50.7,19.1,2971282,11
Eddy Pineiro,K,6,181.9,163.1,18.8,4034949,25
Tykee Smith,S,1,118.0,99.3,18.7,4428522,27
Bucky Irving,RB,22,228.5,210.5,18.0,4596448,27
Brian Burns,DE,3,86.0,68.7,17.3,4035631,19
Tucker Kraft,TE,11,181.5,164.4,17.1,4572680,9
Lions D/ST,DST,7,152.7,136.3,16.4,-16008,8
Cedric Gray,LB,6,136.8,120.7,16.1,4429834,10
Kyle Hamilton,S,2,115.2,99.3,15.9,4575517,33
Foyesade Oluokun,LB,7,136.4,120.7,15.7,3050073,30
TreVeyon Henderson,RB,23,225.4,210.5,14.9,4432710,17
Michael Pittman Jr.,WR,31,209.3,194.8,14.5,4035687,23
Nick Bosa,DE,4,82.8,68.7,14.1,4040605,25
Devon Witherspoon,CB,4,104.3,90.2,14.1,4575431,26
Will Anderson Jr.,DE,5,82.7,68.7,14.0,4685724,34
DK Metcalf,WR,32,208.7,194.8,13.9,4047650,23
Derrick Brown,DT,3,64.6,50.7,13.9,4035495,29
Myles Garrett,DE,6,82.5,68.7,13.8,3122132,14
Bhayshul Tuten,RB,24,224.1,210.5,13.6,4882093,30
Paulson Adebo,CB,5,103.8,90.2,13.6,4242547,19
Dallas Turner,DE,7,82.0,68.7,13.3,4565190,16
