nombre,pos,espn_id,proj,inj,p10,p90,rank_pos,vbd
Ko Kieft,TE,4034779,6.7,ACTIVE,6.8,6.8,76,-114.9
Tanner Koziol,TE,4917427,6.6,ACTIVE,6.7,6.7,77,-115.0
Emanuel Wilson,RB,4887558,8.4,QUESTIONABLE,1.3,20.5,89,-115.1
Sam Roush,TE,4685504,6.5,ACTIVE,6.4,6.4,78,-115.1
Eric Saubert,TE,2975863,6.5,ACTIVE,1.4,16.2,79,-115.1
Matthew Hibner,TE,4432260,6.4,ACTIVE,6.4,6.4,80,-115.2
Luke Farrell,TE,4040612,6.4,ACTIVE,2.0,13.8,81,-115.2
Drew Ogletree,TE,4722908,6.4,ACTIVE,1.9,13.9,82,-115.2
Josh Cuevas,TE,4876132,6.4,ACTIVE,6.4,6.4,83,-115.2
Marlin Klein,TE,4695705,6.3,ACTIVE,6.3,6.3,84,-115.3
Hunter Long,TE,4239944,6.1,ACTIVE,,,85,-115.5
Charlie Woerner,TE,4035020,6.0,ACTIVE,1.7,13.9,86,-115.6
Johnny Mundt,TE,3052096,6.0,ACTIVE,1.9,13.9,87,-115.6
Ian Thomas,TE,4045305,5.8,ACTIVE,1.8,12.5,88,-115.8
Kaleb Johnson,RB,4819231,6.8,ACTIVE,1.2,18.5,90,-116.7
Adam Prentice,RB,3929914,6.7,ACTIVE,0.9,16.2,91,-116.8
Connor Heyward,RB,4241961,6.6,ACTIVE,1.0,16.2,92,-116.9
Michael Burton,RB,2515270,6.6,ACTIVE,6.7,6.7,93,-116.9
Chimere Dike,WR,4431268,29.0,ACTIVE,5.6,69.2,115,-117.3
Isaiah Bond,WR,4808839,28.6,QUESTIONABLE,6.8,72.6,116,-117.7
Zavion Thomas,WR,4869748,28.5,ACTIVE,28.7,28.7,117,-117.8
Max Bredeson,RB,4878695,5.6,ACTIVE,5.6,5.6,94,-117.9
Andrew Beck,RB,3125107,5.5,ACTIVE,0.8,13.8,95,-118.0
Riley Nowakowski,RB,4693370,5.1,ACTIVE,5.1,5.1,96,-118.4
Skyler Bell,WR,4683153,27.7,ACTIVE,27.8,27.8,118,-118.6
Reggie Gilliam,RB,4039505,4.9,ACTIVE,0.7,12.0,97,-118.6
Patrick Ricard,RB,2975417,4.7,ACTIVE,0.7,11.9,98,-118.8
Hollywood Brown,WR,4241372,27.4,ACTIVE,6.1,66.9,119,-118.9
Chris Manhertz,TE,2531358,2.6,ACTIVE,0.7,5.7,89,-119.0
Tutu Atwell,WR,4360797,24.9,ACTIVE,4.2,65.3,120,-121.4
Olamide Zaccheaus,WR,3917914,24.7,ACTIVE,5.2,60.8,121,-121.6
British Brooks,RB,4373273,1.6,QUESTIONABLE,0.2,3.9,99,-121.9
Colbie Young,WR,5092508,24.2,ACTIVE,24.2,24.2,122,-122.1
Ashton Dulin,WR,4061956,23.6,ACTIVE,3.6,62.2,123,-122.7
Brenen Thompson,WR,4685553,22.5,QUESTIONABLE,22.5,22.5,124,-123.8
Roman Wilson,WR,4431492,22.5,ACTIVE,,,125,-123.8
Isaiah Williams,WR,4569371,21.0,ACTIVE,4.5,51.4,126,-125.3
Elijah Sarratt,WR,5088338,20.6,ACTIVE,20.7,20.7,127,-125.7
Jaylin Lane,WR,4602667,20.5,ACTIVE,4.8,51.7,128,-125.8
Odell Beckham Jr.,WR,16733,19.1,ACTIVE,19.2,19.2,129,-127.2
Elic Ayomanor,WR,4883647,18.9,ACTIVE,3.7,46.3,130,-127.4
Tez Johnson,WR,4608810,17.2,ACTIVE,3.6,42.6,131,-129.1
Jordan Whittington,WR,4569382,16.9,ACTIVE,3.7,43.4,132,-129.4
Jimmy Horn Jr.,WR,4708486,16.7,ACTIVE,2.7,44.5,133,-129.6
Konata Mumpfield,WR,4710855,15.8,ACTIVE,3.4,38.2,134,-130.5
Barion Brown,WR,4698597,15.0,ACTIVE,15.0,15.0,135,-131.3
Demarcus Robinson,WR,3043116,14.9,ACTIVE,2.9,36.4,136,-131.4
KeAndre Lambert-Smith,WR,4430870,14.5,ACTIVE,2.2,35.7,137,-131.8
Luke McCaffrey,WR,4426948,14.3,ACTIVE,2.4,38.9,138,-132.0
Jalen Royals,WR,5082630,14.1,ACTIVE,14.1,14.1,139,-132.2
Laquon Treadwell,WR,3051889,12.9,ACTIVE,2.1,32.8,140,-133.4
Bo Melton,WR,4259305,12.6,ACTIVE,2.7,32.0,141,-133.7
Malachi Corley,WR,4613104,10.4,ACTIVE,1.9,27.2,142,-135.9
Xavier Smith,WR,4386544,7.7,ACTIVE,1.8,18.1,143,-138.6
Derius Davis,WR,4362477,7.7,ACTIVE,1.5,20.6,144,-138.6
Efton Chism III,WR,4695193,7.5,ACTIVE,,,145,-138.8
Jacob Cowing,WR,4575665,7.3,QUESTIONABLE,,,146,-139.0
Jonathan Mingo,WR,4426485,6.9,ACTIVE,6.9,6.9,147,-139.4
Jahdae Walker,WR,5160110,6.5,ACTIVE,1.0,17.5,148,-139.8
Tai Felton,WR,4565185,6.2,ACTIVE,1.4,15.0,149,-140.1
Darius Cooper,WR,4715355,6.1,ACTIVE,1.1,15.5,150,-140.2
Josh Cameron,WR,4879194,6.0,ACTIVE,,,151,-140.3
Brycen Tremayne,WR,4360763,5.6,ACTIVE,1.2,14.0,152,-140.7
Reggie Virgil,WR,4869132,5.5,ACTIVE,5.6,5.6,153,-140.8
Shedeur Sanders,QB,4432762,142.8,ACTIVE,21.8,310.5,31,-141.6
Arian Smith,WR,4429105,3.2,ACTIVE,0.8,7.9,154,-143.1
Ben Skowronek,WR,4035656,2.3,QUESTIONABLE,0.5,5.8,155,-144.0
Kameron Johnson,WR,5097554,1.6,ACTIVE,0.3,4.0,156,-144.7
Kaden Wetjen,WR,5081338,1.5,ACTIVE,1.5,1.5,157,-144.8
Tua Tagovailoa,QB,4241479,114.8,ACTIVE,36.7,192.4,32,-169.6
Michael Penix Jr.,QB,4360423,113.0,QUESTIONABLE,16.3,247.0,33,-171.4
Deshaun Watson,QB,3122840,78.3,ACTIVE,78.0,78.0,34,-206.1
Kirk Cousins,QB,14880,45.8,ACTIVE,6.7,98.9,35,-238.6
Carson Beck,QB,4430841,28.5,ACTIVE,28.5,28.5,36,-255.9
Joe Flacco,QB,11252,9.9,ACTIVE,1.5,20.8,37,-274.5
Justin Fields,QB,4362887,9.6,ACTIVE,1.5,20.8,38,-274.8
Tommy DeVito,QB,4240391,9.5,ACTIVE,9.5,9.5,39,-274.9
Tyson Bagent,QB,4434153,9.4,ACTIVE,9.3,9.3,40,-275.0
Jarrett Stidham,QB,3892775,9.4,ACTIVE,9.4,9.4,41,-275.0
Tanner McKee,QB,4685201,9.1,ACTIVE,9.0,9.0,42,-275.3
J.J. McCarthy,QB,4433970,9.0,QUESTIONABLE,1.3,19.9,43,-275.4
Ty Simpson,QB,4685522,8.8,ACTIVE,8.9,8.9,44,-275.6
Tyrod Taylor,QB,14163,8.8,ACTIVE,8.7,8.7,45,-275.6
Marcus Mariota,QB,2576980,8.7,QUESTIONABLE,1.3,19.1,46,-275.7
Quinn Ewers,QB,4889929,8.7,ACTIVE,8.7,8.7,47,-275.7
Kenny Pickett,QB,4240703,8.7,ACTIVE,8.6,8.6,48,-275.7
Drew Allar,QB,4714771,8.6,ACTIVE,8.6,8.6,49,-275.8
Riley Leonard,QB,4683423,8.6,ACTIVE,8.5,8.5,50,-275.8
Spencer Rattler,QB,4426339,8.2,ACTIVE,1.3,17.2,51,-276.2
Sam Howell,QB,4426875,8.2,ACTIVE,8.2,8.2,52,-276.2
Jameis Winston,QB,2969939,8.0,ACTIVE,0.9,15.1,53,-276.4
Trey Lance,QB,4383351,8.0,ACTIVE,7.9,7.9,54,-276.4
Mac Jones,QB,4241464,7.7,ACTIVE,1.1,16.2,55,-276.7
Tyler Huntley,QB,4035671,7.7,ACTIVE,7.7,7.7,56,-276.7
Mitchell Trubisky,QB,3039707,7.5,QUESTIONABLE,7.5,7.5,57,-276.9
Kyle Allen,QB,3115293,7.4,ACTIVE,7.4,7.4,58,-277.0
Drew Lock,QB,3924327,7.2,ACTIVE,7.2,7.2,59,-277.2
Davis Mills,QB,4242546,7.2,ACTIVE,7.1,7.1,60,-277.2
Cade Klubnik,QB,4685413,6.9,ACTIVE,6.9,6.9,61,-277.5
Gardner Minshew II,QB,4038524,6.3,ACTIVE,6.3,6.3,62,-278.1
